"","node_1","node_2","score"
"1931","SEMA3F","NRCAM",0.551
"22","BAIAP2L1","RAC2",0.55
"445","BAIAP2L1","RAC3",0.55
"4561","BAIAP2L1","ESPN",0.424
"464","PDK4","ITPR1",0.786
"67","BAIAP2L1","CYBA",0.422
"4509","BAIAP2L1","EPS8",0.564
"308","BAIAP2L1","SHANK1",0.405
"887","HSPB6","SFN",0.9
"2723","CD74","MRPS12",0.403
"4654","CD74","RPS17",0.499
"1719","CD74","HLA-DQB1",0.935
"1427","CD74","LPAR3",0.487
"341","CD74","RPS23",0.542
"1700","CD74","HLA-DMA",0.937
"2937","CD74","HLA-DQB2",0.692
"2904","CD74","HLA-DPA1",0.926
"3151","CD74","HLA-DPB1",0.943
"2810","CD74","CXCR4",0.987
"2409","CD74","HLA-DRA",0.993
"1124","CD74","HLA-DRB1",0.971
"855","CD74","HLA-DQA1",0.955
"2998","CD74","HLA-DMB",0.903
"6","CD74","HLA-DOA",0.9
"297","CD74","MRNIP",0.403
"3766","CD74","SMKR1",0.403
"1733","CD74","OTUD3",0.409
"2461","CD74","AP1S3",0.499
"1711","CD74","HLA-DQA2",0.905
"3897","CD74","AP1M2",0.499
"1727","CD74","HLA-DRB5",0.931
"1710","CD4","HLA-DQA2",0.9
"3481","CD4","LYN",0.409
"5","CD4","HLA-DOA",0.9
"1726","CD4","HLA-DRB5",0.9
"674","CD4","CD6",0.414
"3001","CD4","HLA-DMB",0.9
"4","CD4","CCND1",0.6
"853","CD4","HLA-DQA1",0.911
"1761","CD4","SYK",0.926
"1385","CD4","FCGR1A",0.602
"4122","CD4","LCK",0.999
"2943","CD4","HLA-DQB2",0.499
"1718","CD4","HLA-DQB1",0.803
"292","CD4","CCR5",0.999
"2414","CD4","HLA-DRA",0.989
"1127","CD4","HLA-DRB1",0.96
"2790","CD4","CD8A",0.9
"4283","CD4","CCL4",0.538
"2119","CD4","CD9",0.585
"1198","CD4","CD3E",0.9
"1703","CD4","HLA-DMA",0.9
"3155","CD4","HLA-DPB1",0.9
"1398","CD4","CD2",0.936
"2814","CD4","CXCR4",0.989
"2903","CD4","HLA-DPA1",0.9
"1695","INMT","AOX1",0.408
"520","CD4","CD7",0.483
"2147","KCNQ1","KCNQ3",0.9
"370","RTN4R","ANPEP",0.982
"1003","RTN4R","LINGO1",0.989
"2170","RTN4R","MAG",0.982
"235","RTN4R","MYCN",0.447
"2983","DCN","TNF",0.836
"172","DCN","ERBB3",0.9
"137","GRN","PDCD6",0.42
"4694","GRN","TPM3",0.568
"8","GRN","APOA1",0.615
"45","GRN","SORT1",0.895
"540","GRN","MMP19",0.426
"920","GRN","SLPI",0.682
"127","DCN","FGF2",0.637
"597","DCN","MET",0.976
"208","DCN","FGF18",0.893
"11","DCN","LRP1",0.784
"928","DCN","ERBB4",0.9
"150","DCN","VCAN",0.778
"2073","DCN","SDC1",0.701
"349","DCN","COL14A1",0.856
"59","DCN","MMP7",0.422
"706","DCN","FBN1",0.5
"176","DCN","FGF7",0.893
"134","CLDN11","CLDN16",0.65
"2957","CLDN11","CLDN9",0.668
"996","CLDN11","OCLN",0.876
"318","CLDN11","CLDN1",0.65
"2739","CLDN11","CLDN5",0.65
"2359","CLDN11","CLDN3",0.758
"2491","CLDN11","CLDN6",0.65
"1135","CLDN11","CLDN7",0.65
"3877","CLDN11","TJP3",0.675
"3170","CLDN11","CLDN4",0.651
"241","KCNQ1","KCNE4",0.499
"367","CLDN11","CLDN10",0.65
"1221","CD22","CXCL9",0.562
"4602","KCNQ1","KCNN4",0.9
"502","CD22","CD200R1",0.903
"3812","KCNQ1","KCNJ12",0.9
"132","KCNQ1","UBE2S",0.465
"336","TRIP13","MAD2L1",0.961
"1755","CD22","SYK",0.805
"3490","CD22","LYN",0.725
"2875","CD22","PTPN6",0.974
"2443","FSTL3","BMP7",0.412
"315","FSTL3","INHBB",0.7
"242","TRIP13","ARL11",0.489
"1079","TRIP13","MPPED2",0.42
"1522","TRIP13","CDC20",0.95
"522","TRIB2","TRIB1",0.671
"3780","TRIB2","DET1",0.595
"262","TRIP13","BUB1B",0.457
"31","KRT14","KRT5",0.999
"2269","KRT14","KRT15",0.4
"2762","KRT14","OBSL1",0.457
"489","KRT14","KRT17",0.435
"1","KRT14","KRT23",0.4
"2143","KRT14","KRT18",0.476
"1233","KRT14","KRT19",0.4
"633","NTN1","IGDCC4",0.432
"3428","NTN1","ABLIM3",0.499
"406","KRT14","KRT16",0.4
"1902","CA12","CA9",0.504
"1202","CLIC5","WHRN",0.499
"797","NTN1","UNC5B",0.994
"771","NTN1","UNC5A",0.982
"2532","NTN1","ROBO3",0.503
"2776","CLIC5","MYO3B",0.499
"821","CLIC5","PLS1",0.825
"1392","CLIC5","CLIC2",0.711
"4555","CLIC5","ESPN",0.499
"4504","CLIC5","EPS8",0.499
"49","TRO","TROAP",0.974
"1963","TFAP2C","GATA3",0.646
"929","TRO","ERBB4",0.457
"3021","ITGB4","LAMA2",0.499
"1332","ITGB4","DUSP23",0.426
"1390","ITGB4","ITGA10",0.734
"2509","ITGB4","ITGA4",0.758
"3","ITGB4","ITGB8",0.72
"2165","ITGB4","LAMB3",0.558
"2043","ITGB4","EMILIN1",0.54
"484","ITGB4","DST",0.95
"2248","ITGB4","JUP",0.539
"2537","ITGB4","ITGB2",0.72
"1893","ITGB4","ITGA8",0.741
"247","ITGB4","ITGB6",0.744
"33","ITGB4","LAMA5",0.499
"574","ITGB4","ITGA3",0.877
"2063","ITGB4","SDC1",0.771
"2669","TFAP2C","KCTD1",0.632
"165","ITGB4","ITGB7",0.72
"4746","TFAP2C","TFAP2A",0.892
"1541","TFAP2C","CITED4",0.63
