"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"753","MAPK15","Q8TD08",20,0,1,0.055,1,1,69.3901375711575
"856","IL4I1","Q96RQ9",10,0,1,0.511,1,1,86.8211604326273
"82","CACNA1F","O60840",2,1139,3,0.17,0.999,5,67.3246816045329
"18","SULT1C2","O00338",53,0,1,0.298,0.998,1,95.7546737357259
"60","AQP9","O43315",2,0,1,0.47,0.998,1,91.0660036084799
"294","RYR1","P21817",2,1899,4,0.226,0.997,3,75.5543385568513
"521","CENPE","Q02224",2,1501,4,0.135,0.997,5,72.5524854202401
"15","SULT2B1","O00204",53,0,1,0.599,0.996,1,87.7219032921811
"685","BNIPL","Q7Z465",2,0,1,0.19,0.996,1,68.6518282647585
"642","FAAH2","Q6GMR7",23,0,1,0.082,0.995,1,94.182449377897
"303","CD9","P21926",2,1521,3,0.063,0.994,1,88.1191475042064
"669","CENPU","Q71F23",2,0,3,0.002,0.994,1,65.518599280144
"931","KCNK12","Q9HB15",36,0,1,0.139,0.994,1,73.7849012458219
"389","XDH","P47989",46,0,1,0.138,0.993,3,96.095941394081
"585","MELK","Q14680",2,0,1,0.159,0.993,1,70.6437161388783
"639","PLPP4","Q5VZY2",45,0,1,0.383,0.993,2,92.0033816651076
"955","NOX4","Q9NPH5",2,322,2,0.046,0.993,3,86.7570520965693
"238","IDO1","P14902",34,0,1,0.277,0.991,1,93.3983944810285
"427","KIF11","P52732",2,1046,9,0.141,0.991,1,74.7686384864088
"651","KLC3","Q6P597",11,3,3,0.212,0.991,1,76.0152002053388
"288","RYR1","P21817",2,1899,4,0.145,0.989,2,76.5189462276809
"420","CYP2J2","P51589",22,0,1,0.08,0.987,1,93.7890555828824
"976","NINJ2","Q9NZG7",2,0,1,0.185,0.987,3,67.543722826087
"599","TEAD4","Q15561",2,1521,3,0.243,0.986,2,76.5831209630065
"910","UNC93B1","Q9H1C4",54,0,1,0.082,0.986,1,80.1787892948173
"114","LY86","O95711",15,0,1,0.075,0.983,1,87.7098328025478
"650","TNFAIP8L2","Q6P589",2,761,2,0.017,0.981,1,90.7499447513812
"383","SYK","P43405",2,13379,10,0.203,0.979,2,84.3303645320197
"360","FBN2","P35556",12,7,3,0.107,0.975,1,75.7839261809141
"514","CACNA1B","Q00975",2,6,2,0.13,0.971,2,60.3841264342931
"707","SLC35F2","Q8IXU6",2,0,1,-0.002,0.97,2,82.7324095139607
"817","HAS2","Q92819",2,0,1,0.103,0.97,1,90.7073664207467
"909","LPAR5","Q9H1C0",2,0,1,0.25,0.967,1,83.6958914462384
"934","LGR6","Q9HBX8",37,0,2,0.408,0.967,2,78.1741924492299
"213","VDR","P11473",2,0,1,0.284,0.966,1,84.695411101217
"339","ALDH3A1","P30838",5,0,2,0.345,0.966,1,97.89977407512
"703","SGPP2","Q8IWX5",45,0,1,0.102,0.966,1,84.2117957635157
"479","H2BC4","P62807",2,38282,12,0.291,0.965,1,87.8297338792221
"562","LAPTM5","Q13571",38,0,1,0.239,0.964,2,69.275031085605
"56","SLC16A3","O15427",2,1520,2,0.025,0.963,1,83.5874261119082
"245","NQO1","P15559",2,761,2,0.254,0.963,1,98.3285341273477
"739","NAXE","Q8NCW5",2,1521,3,0.423,0.962,1,86.8761372812921
"134","TGFA","P01135",2,3905,5,0.202,0.961,1,66.8868469991547
"543","CYP4F3","Q08477",22,0,1,0.156,0.961,2,91.8275165876777
"94","STC2","O76061",2,0,2,0.27,0.96,2,73.2958494623656
"518","CENPE","Q02224",2,1501,4,0.126,0.96,2,70.7644444444445
"765","DNAH3","Q8TD57",24,0,1,0.164,0.96,4,85.6663929332386
"1032","ADGRG1","Q9Y653",2,0,1,0.294,0.96,2,78.0137559284933
"671","FBN3","Q75N90",12,0,1,0.195,0.958,2,75.3038825484765
"223","CYBA","P13498",2,0,2,0.48,0.957,1,77.0298854447439
"351","TTK","P33981",2,3035,3,0.087,0.956,1,63.954351783879
"429","PLK1","P53350",2,53880,14,0.175,0.953,2,85.1698896752706
"164","CYBB","P04839",2,1700,2,0.295,0.952,3,90.3958427209705
"594","ERBB4","Q15303",2,3810,3,0.069,0.951,1,73.091615003401
"690","TSPAN33","Q86UF1",2,0,1,0.034,0.951,2,89.6664947987336
"253","DSP","P15924",2,2832,2,0.154,0.95,1,78.5653919845316
"311","IL32","P24001",2,0,1,0.099,0.95,2,71.1900160599572
"522","CENPE","Q02224",2,1501,4,0.416,0.949,1,70.8415997235899
"720","ASPM","Q8IZT6",2,8922,4,0.434,0.949,4,62.6404820392025
"1036","NDUFB9","Q9Y6M9",2,4536,2,-0.051,0.948,1,96.1323201555412
"117","AIFM1","O95831",2,39,2,0.136,0.947,1,85.7945805903589
"394","TDO2","P48775",34,0,1,0.175,0.947,1,90.5243651968038
"40","LAMA5","O15230",2,3467,4,0.086,0.946,2,79.2431394807853
"53","GPR37","O15354",2,0,1,0.097,0.945,5,61.8110206251329
"85","RTN2","O75298",49,0,1,0.162,0.944,2,51.1261288005746
"308","PTGS1","P23219",2,0,2,0.142,0.943,1,94.1155716054478
"330","GJB2","P29033",2,1520,2,0.236,0.943,2,86.3863956639566
"369","IFI27","P40305",2,0,1,0.066,0.942,1,52.1421118012422
"812","MYO3B","Q8WXR4",2,0,2,0.144,0.942,1,75.6698980641541
"949","TNFRSF12A","Q9NP84",2,1609,4,0.111,0.942,1,73.2729085303186
"767","DNAH3","Q8TD57",24,0,1,0.099,0.941,1,85.2511541897445
"911","TRPV6","Q9H1D0",2,0,1,0.341,0.941,3,80.7459308770786
"412","TNFSF10","P50591",2,761,2,0.184,0.94,1,82.3966710411199
"414","RORC","P51449",2,0,1,0.252,0.94,1,75.843762254902
"820","H2BC9","Q93079",2,24695,11,0.364,0.94,2,88.1431147540984
"241","RAC2","P15153",2,1171,7,0.227,0.939,1,93.545707641196
"371","P2RY2","P41231",43,0,1,0.12,0.939,1,79.1966207591535
"706","RIMKLA","Q8IXN7",2,0,1,0.297,0.938,1,81.1365021673891
"78","MPZL2","O60487",40,0,1,0.433,0.937,2,89.4777052023121
"81","H2BC12","O60814",2,24896,11,0.241,0.937,1,88.0577868852459
"468","RAC3","P60763",2,18877,11,0.341,0.937,1,93.8337150466045
"137","IL2RA","P01589",2,0,1,0,0.936,1,72.5082859804378
"777","DNAH5","Q8TE73",24,0,1,0.234,0.936,1,81.6921004927842
"801","RSAD2","Q8WXG1",2,380,2,0.193,0.935,1,87.9568383838384
"466","PPP4C","P60510",2,1521,3,0.387,0.933,1,94.8774645605508
"783","DNAH5","Q8TE73",24,0,1,0.124,0.932,3,85.0711421229842
"199","IFIT1","P09914",2,0,1,0.057,0.93,1,94.1743924993578
"937","MUC5B","Q9HC84",2,1020,3,0.112,0.93,1,82.3506823372668
"149","APOA1","P02647",2,9356,8,0.278,0.929,3,73.6116812528789
"713","ASPM","Q8IZT6",2,8922,4,0.335,0.927,1,64.3894747828991
"89","CDC45","O75419",2,884,2,0.323,0.926,1,92.8874267100977
"362","FBN2","P35556",12,7,3,0.286,0.926,1,75.5667598353594
"868","CDC6","Q99741",2,761,3,0.244,0.922,2,69.8394804010939
"905","CHST6","Q9GZX3",18,0,1,0.409,0.92,1,90.8008349389852
"42","LAMA5","O15230",2,3467,4,0.241,0.919,3,79.9928498342018
"49","LAMA5","O15230",2,3467,4,0.244,0.918,2,82.4136653161217
"207","NR2F6","P10588",2,0,1,0.399,0.917,1,79.7500198675497
"342","SDC4","P31431",2,4689,3,0.27,0.917,2,63.1446158896914
"775","DNAH5","Q8TE73",24,0,1,2.178,0.916,3,87.2725882458341
"13","LGALS9","O00182",2,0,1,0.247,0.914,3,85.1284844141885
"679","FBN3","Q75N90",12,0,1,0.138,0.909,1,70.4095159719517
"452","EPPK1","P58107",2,0,1,0.247,0.908,1,77.4693065625581
"404","CENPF","P49454",2,10672,3,0.122,0.906,1,71.418744961032
"97","ATP10B","O94823",9,0,1,0.117,0.904,2,71.4329106727539
"989","HCST","Q9UBK5",2,1076,3,0.33,0.904,2,67.318977443609
"130","ASS1","P00966",2,0,1,0.103,0.902,1,95.635373589509
"123","AGR2","O95994",2,5272,5,0.263,0.901,1,87.4194598436389
"846","PBK","Q96KB5",2,0,2,0.152,0.901,1,84.9070023696682
"922","CDCP1","Q9H5V8",2,0,1,0.276,0.901,1,78.3538725490196
"209","MGST1","P10620",39,0,1,0.541,0.9,1,79.0266101694915
"284","RYR1","P21817",2,1899,4,0.185,0.9,2,84.4349548645938
"168","ATP5MC1","P05496",2,3791,3,0.401,0.898,1,72.6957627118644
"212","TOP2A","P11388",2,22036,7,0.045,0.897,1,76.4083174292472
"319","ITGB8","P26012",2,0,1,0.085,0.896,1,76.4670721097541
