"","uniprotswissprot","logFC"
"1","Q9H2S6",9.57208728107713
"2","O60762",-1.01078315693908
"3","P08603",5.0824561310232
"4","P23511",-1.5160963971523
"5","Q5TH74",-1.21241201329012
"6","Q6P499",-1.72054179642177
"7","Q9Y6X5",-2.59794230162909
"8","Q13275",-4.29288395390341
"9","O00522",1.93889234537386
"10","P43351",2.29429045758759
"11","P28838",-1.07602864035828
"12","P14209",3.80901771709582
"13","O14792",7.71884383367534
"14","Q9Y6D9",6.6196128503052
"15","Q9P2N7",4.50550540212244
"16","Q05084",-3.01979490814474
"17","Q9H9R9",-3.52730262694488
"18","Q92851",-1.83957721850763
"19","P10646",3.47450274226305
"20","Q7L592",-1.15093386818324
"21","P52756",1.90050146193969
"22","P52569",4.1487416719888
"23","Q6SZW1",2.27036619918041
"24","Q9Y4D7",-2.00648224133932
"25","P54819",-1.22657170922776
"26","O60341",-1.29074627164494
"27","P78332",2.34864267471164
"28","Q8N5S9",2.45109926453458
"29","O14558",2.63272426888032
"30","O14559",1.78702668831098
"31","O14561",-1.72694105246583
"32","Q16654",6.3827760407262
"33","O75800",-3.7299657544266
"34","Q96QS3",12.2240047213191
"35","Q9UJS0",-1.96051105833612
"36","P53701",-1.73789313965158
"37","P05141",-1.40960616820156
"38","Q53FZ2",1.97747808343627
"39","Q96IC2",-1.94891399102301
"40","Q6FI81",-1.50289316313163
"41","P31323",6.21316054407806
"42","Q8N5Y2",-1.32206940823709
"43","Q92793",1.01135881065469
"44","O95153",3.93738821873174
"45","Q9H977",-1.48385429536544
"46","Q9UKG9",1.8872865057855
"47","Q6NTF9",-1.82573680515847
"48","O14628",-1.36523613464675
"49","P26006",-2.71571861859423
"50","P17010",1.1056141998457
"51","P13473",-1.57873844133767
"52","Q9BZF2",2.08519603405566
"53","Q9Y2Y6",2.88624316743305
"54","Q99558",1.68363946677986
"55","Q09428",5.06074096440304
"56","Q24JP5",-2.10333476897795
"57","P63010",1.08591600557467
"58","Q8TB22",3.12433934239153
"59","O43497",7.02330815455494
"60","Q9NP84",-3.86084233108587
"61","P80192",-1.82428167355811
"62","P11233",-1.70014325273946
"63","Q9UHR4",-4.75510418513341
"64","Q8N3S3",-1.33717164361207
"65","Q9Y258",7.71583029793861
"66","O75223",-1.47662516131564
