"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000254772","ENSG00000254772",19.3984984940055,10.7217774601944,5330.26132576317,0,0
"ENSG00000105583","ENSG00000105583",15.1060462138941,6.06368442864606,6087.73003470645,0,0
"ENSG00000214736","ENSG00000214736",14.9319008577649,5.88963071971242,7651.01477848257,0,0
"ENSG00000145029","ENSG00000145029",13.9239176910287,5.5444391704857,3053.52481954771,0,0
"ENSG00000145075","ENSG00000145075",13.6883171498229,4.64712973828587,1803.84460312816,0,0
"ENSG00000253797","ENSG00000253797",13.3052360666798,4.26451709145959,3094.80314262184,0,0
"ENSG00000255455","ENSG00000255455",12.9054203707643,3.86558159152154,1858.9704159623,0,0
"ENSG00000226232","ENSG00000226232",12.8230509492459,4.44554652557354,1722.13344650097,0,0
"ENSG00000266820","ENSG00000266820",12.7699431857985,3.73056012518559,2332.52376872217,0,0
"ENSG00000142694","ENSG00000142694",12.7308479082852,3.69149379029378,2280.15258035961,0,0
"ENSG00000243509","ENSG00000243509",12.7046314359475,3.66544222486533,2041.05821426905,0,0
"ENSG00000259623","ENSG00000259623",12.607293549865,3.56821128043526,2463.31481740596,0,0
"ENSG00000215837","ENSG00000215837",12.6043955300394,3.56535771422502,1545.0254115198,0,0
"ENSG00000213689","ENSG00000213689",12.2985831758705,3.26043428454105,1963.62897591415,0,0
"ENSG00000207165","ENSG00000207165",11.8467960083807,2.8107956757174,1598.52818100707,0,0
"ENSG00000279095","ENSG00000279095",11.7274449185885,2.69170733696311,2266.11929685255,0,0
"ENSG00000263647","ENSG00000263647",11.5647094774844,2.89622862634127,1997.70904080352,0,0
"ENSG00000260465","ENSG00000260465",11.5217476782972,2.48708561357276,1516.94167272948,0,0
"ENSG00000283375","ENSG00000283375",11.3414659691638,2.30811044099779,2250.30633647349,0,0
"ENSG00000281991","ENSG00000281991",11.1305421040389,2.99542830231831,1685.72132838584,0,0
