"ensembl_gene_id","external_gene_name","description","gene_biotype","logFC","logCPM","F","PValue","FDR"
"ENSG00000000003","TSPAN6","tetraspanin 6 ","protein_coding",-1.30170002599323,6.86968196021267,120.410577228446,9.85691516681674e-23,2.05734531814438e-22
"ENSG00000000457","SCYL3","SCY1 like pseudokinase 3 ","protein_coding",1.40974642173827,4.50811606115634,512.144038413271,5.43726485771603e-60,3.28948918464131e-59
"ENSG00000000460","FIRRM","FIGNL1 interacting regulator of recombination and mitosis ","protein_coding",1.55581022548772,3.11751433135023,580.633964062459,2.39413061102254e-64,1.65915400067604e-63
"ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase ","protein_coding",-1.03073172387676,2.6161992105504,17.7280758579685,3.68186176006968e-05,4.69668671263214e-05
"ENSG00000000971","CFH","complement factor H ","protein_coding",-1.34315490061569,8.67405207540036,38.5438419105584,2.53868687832093e-09,3.68836157574236e-09
"ENSG00000001036","FUCA2","alpha-L-fucosidase 2 ","protein_coding",0.551375417369974,5.64237109370769,80.1889396909477,1.28564003374933e-16,2.27330660903175e-16
"ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit ","protein_coding",1.11348286434614,5.2243227320724,53.5659911173627,4.34331302619026e-12,6.81068249329171e-12
"ENSG00000001167","NFYA","nuclear transcription factor Y subunit alpha ","protein_coding",0.15888994325398,5.6595295567163,6.72842608835631,0.0101094151556247,0.0116765257241513
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",1.85005986789803,4.66348629320747,700.650720751406,3.64280457166242e-71,3.14189217347792e-70
"ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor ","protein_coding",-1.91728536558482,6.52748699047769,609.752599363391,4.29302429309648e-66,3.14914797020093e-65
"ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 ","protein_coding",3.00973963599213,3.86511406594861,528.424881818077,4.63465861132272e-61,2.90825819019314e-60
"ENSG00000001617","SEMA3F","semaphorin 3F ","protein_coding",1.68047368289135,3.73630429358613,70.595336007528,4.91225540415285e-15,8.31518391996382e-15
"ENSG00000001626","CFTR","CF transmembrane conductance regulator ","protein_coding",8.73918112811849,4.09553957807812,2024.22759492087,1.71318252884036e-114,6.02736232149088e-113
"ENSG00000001629","ANKIB1","ankyrin repeat and IBR domain containing 1 ","protein_coding",1.09982603008571,6.06622094327716,838.70647823615,5.50297739120294e-78,5.93633686076017e-77
"ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1 ","protein_coding",-3.19698046324963,6.14802341415312,240.06358502497,2.26342878188536e-37,6.90656482093179e-37
"ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing ","protein_coding",0.526105675763761,5.72407539469386,179.133891728643,1.81985685248824e-30,4.63929103090443e-30
"ENSG00000002016","RAD52","RAD52 homolog, DNA repair protein ","protein_coding",-1.12498296779103,5.10994074700113,65.8518983764502,3.11476635488674e-14,5.16697616378825e-14
"ENSG00000002330","BAD","BCL2 associated agonist of cell death ","protein_coding",0.132501689563917,4.16919468386854,2.93440645120414,0.0880829775481558,0.0964665096752011
"ENSG00000002549","LAP3","leucine aminopeptidase 3 ","protein_coding",0.961049270249588,5.42477163348875,98.9315316848699,1.45319590094361e-19,2.77674356118048e-19
"ENSG00000002586","CD99","CD99 molecule (Xg blood group) ","protein_coding",-2.42020383001815,8.03104621840391,877.514439356902,9.608380809391e-80,1.08685084698979e-78
"ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 ","protein_coding",-1.85548375861333,6.81207911173007,123.257760019368,3.88091947264949e-23,8.18295050060947e-23
"ENSG00000002726","AOC1","amine oxidase copper containing 1 ","protein_coding",10.0613791289393,4.29752807464229,3828.97294919317,8.94008985602287e-164,8.40769604344305e-162
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 ","protein_coding",0.242140856373382,4.25529658217303,10.3077202128344,0.00151754448503161,0.00181671930966126
"ENSG00000002834","LASP1","LIM and SH3 protein 1 ","protein_coding",1.63560689596276,7.49504830964103,293.909142952089,9.35422800568948e-43,3.3132756897989e-42
"ENSG00000002933","TMEM176A","transmembrane protein 176A ","protein_coding",-1.42260918045697,6.67880233800202,76.9487469613458,4.34060896741766e-16,7.5639712746151e-16
"ENSG00000003056","M6PR","mannose-6-phosphate receptor, cation dependent ","protein_coding",0.725849509761155,5.7552488667304,144.541910681353,4.62764899163199e-26,1.05031309338232e-25
"ENSG00000003096","KLHL13","kelch like family member 13 ","protein_coding",0.242496611344171,3.64419539950024,3.67153353123986,0.0566119194132312,0.062749582178265
"ENSG00000003147","ICA1","islet cell autoantigen 1 ","protein_coding",4.54440434426954,3.73324857555692,967.266254453603,1.49572277343914e-83,1.92658022907161e-82
"ENSG00000003249","DBNDD1","dysbindin domain containing 1 ","protein_coding",0.6513633650344,2.76359967552177,20.4346932046089,9.95892206118243e-06,1.29665730883571e-05
"ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 ","protein_coding",0.96917129121503,5.59985751649313,449.031150085181,1.34347320776769e-55,7.03680665161007e-55
"ENSG00000003400","CASP10","caspase 10 ","protein_coding",3.0043413325599,3.80097200527895,557.888646083764,6.07959094092517e-63,4.04690012224652e-62
"ENSG00000003436","TFPI","tissue factor pathway inhibitor ","protein_coding",1.58875922902305,5.6789523416339,142.660273439734,8.2572238933625e-26,1.86200018044146e-25
"ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 ","protein_coding",0.132765122286153,4.2116242119075,5.79780282046054,0.0168493932208371,0.0192491393819422
"ENSG00000003756","RBM5","RNA binding motif protein 5 ","protein_coding",-0.863269046496239,8.22492455444765,115.820037831505,4.50464466449409e-22,9.24949501368687e-22
"ENSG00000003989","SLC7A2","solute carrier family 7 member 2 ","protein_coding",-2.49875902565552,9.01280877185003,91.8338069813699,1.80718355193332e-18,3.35143343324658e-18
"ENSG00000004059","ARF5","ADP ribosylation factor 5 ","protein_coding",-0.622598751555691,5.86762312061848,100.826399934418,7.48609774066563e-20,1.44169782033743e-19
"ENSG00000004139","SARM1","sterile alpha and TIR motif containing 1 ","protein_coding",0.896099319414097,4.11635238094202,149.509228428112,1.01834587451749e-26,2.34834208189972e-26
"ENSG00000004142","POLDIP2","DNA polymerase delta interacting protein 2 ","protein_coding",-0.12504463964637,6.26456023129598,4.62779442554274,0.0325194400787735,0.0365588279996694
"ENSG00000004399","PLXND1","plexin D1 ","protein_coding",-0.455781100728842,6.30991102010152,8.19990142832155,0.0045836878957263,0.00537462317121168
"ENSG00000004455","AK2","adenylate kinase 2 ","protein_coding",-0.60080216876877,6.81487239606426,124.98670658109,2.21176143924383e-23,4.68844850096029e-23
