external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
RPS27A,ribosomal protein S27a ,RPS27A,29,,,29
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 ,UBA52,28,,,28
UBC,ubiquitin C ,UBC,599,,,599
TP53,tumor protein p53 ,TP53,16776,,,16776
UBB,ubiquitin B ,UBB,35,,,35
EGFR,epidermal growth factor receptor ,EGFR,39900,,,39900
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase ",SRC,7664,,,7664
CTNNB1,catenin beta 1 ,CTNNB1,2150,,,2150
H4C6,H4 clustered histone 6 ,H4C6,2,,,2
HSP90AA1,heat shock protein 90 alpha family class A member 1 ,HSP90AA1,187,,,187
EP300,E1A binding protein p300 ,EP300,445,,,445
FN1,fibronectin 1 ,FN1,644,,,644
GRB2,growth factor receptor bound protein 2 ,GRB2,693,,,693
ESR1,estrogen receptor 1 ,ESR1,1702,,,1702
BRCA1,BRCA1 DNA repair associated ,BRCA1,14102,,,14102
HDAC1,histone deacetylase 1 ,HDAC1,1295,,,1295
CREBBP,CREB binding protein ,CREBBP,422,,,422
HSP90AB1,heat shock protein 90 alpha family class B member 1 ,HSP90AB1,78,,,78
PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 ,PIK3R1,391,,,391
STAT3,signal transducer and activator of transcription 3 ,STAT3,11755,,,11755
NPM1,nucleophosmin 1 ,NPM1,1985,,,1985
HSPA4,heat shock protein family A (Hsp70) member 4 ,HSPA4,42,,,42
HSPA8,heat shock protein family A (Hsp70) member 8 ,HSPA8,97,,,97
BRD4,bromodomain containing 4 ,BRD4,1073,,,1073
PTPN11,protein tyrosine phosphatase non-receptor type 11 ,PTPN11,599,,,599
SHC1,SHC adaptor protein 1 ,SHC1,76,,,76
GNB1,G protein subunit beta 1 ,GNB1,27,,,27
FYN,"FYN proto-oncogene, Src family tyrosine kinase ",FYN,450,,,450
ACTB,actin beta ,ACTB,325,,,325
MDM2,MDM2 proto-oncogene ,MDM2,5512,,,5512
AKT1,AKT serine/threonine kinase 1 ,AKT1,2399,,,2399
APP,amyloid beta precursor protein ,APP,1641,,,1641
SQSTM1,sequestosome 1 ,SQSTM1,649,,,649
SMAD3,SMAD family member 3 ,SMAD3,1374,,,1374
GNG2,G protein subunit gamma 2 ,GNG2,15,,,15
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit ",JUN,6808,69,4,69
LRRK2,leucine rich repeat kinase 2 ,LRRK2,101,,,101
CD44,CD44 molecule (IN blood group) ,CD44,8492,,,8492
SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 ",SMARCA4,759,,,759
H3C12,H3 clustered histone 12 ,H3C12,0,,,0
H3C13,H3 clustered histone 13 ,H3C13,1,,,1
CDC42,cell division cycle 42 ,CDC42,1203,,,1203
CAV1,caveolin 1 ,CAV1,839,,,839
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha ",PIK3CA,5536,,,5536
TRAF6,TNF receptor associated factor 6 ,TRAF6,374,,,374
MYC,"MYC proto-oncogene, bHLH transcription factor ",MYC,22275,,,22275
H2AX,H2A.X variant histone ,H2AX,1895,,,1895
ARRB1,arrestin beta 1 ,ARRB1,37,,,37
RACK1,receptor for activated C kinase 1 ,RACK1,182,,,182
CLTC,clathrin heavy chain ,CLTC,74,,,74
STAT1,signal transducer and activator of transcription 1 ,STAT1,2027,,,2027
CXCR4,C-X-C motif chemokine receptor 4 ,CXCR4,4212,,,4212
CDK1,cyclin dependent kinase 1 ,CDK1,1935,,,1935
CDH1,cadherin 1 ,CDH1,2226,,,2226
HDAC2,histone deacetylase 2 ,HDAC2,559,,,559
KAT2B,lysine acetyltransferase 2B ,KAT2B,39,,,39
TP53BP1,tumor protein p53 binding protein 1 ,TP53BP1,61,,,61
RBBP4,"RB binding protein 4, chromatin remodeling factor ",RBBP4,52,,,52
JAK2,Janus kinase 2 ,JAK2,4258,,,4258
RBX1,ring-box 1 ,RBX1,125,,,125
ARRB2,arrestin beta 2 ,ARRB2,26,,,26
CALM3,calmodulin 3 ,CALM3,8,,,8
RHOA,ras homolog family member A ,RHOA,2174,,,2174
H3-3B,H3.3 histone B ,H3-3B,5,,,5
ERBB2,erb-b2 receptor tyrosine kinase 2 ,ERBB2,6651,,,6651
H2BC12,H2B clustered histone 12 ,H2BC12,1,,,1
CDK2,cyclin dependent kinase 2 ,CDK2,3083,,,3083
ITGB1,integrin subunit beta 1 ,ITGB1,292,,,292
H3-4,"H3.4 histone, cluster member ",H3-4,4,,,4
VCL,vinculin ,VCL,93,,,93
H2AC8,H2A clustered histone 8 ,H2AC8,0,,,0
RBBP7,"RB binding protein 7, chromatin remodeling factor ",RBBP7,21,,,21
PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 ,PIK3R2,67,,,67
TRAF2,TNF receptor associated factor 2 ,TRAF2,389,,,389
TLR4,toll like receptor 4 ,TLR4,1541,,,1541
H3C1,H3 clustered histone 1 ,H3C1,3,,,3
SYK,spleen associated tyrosine kinase ,SYK,740,,,740
