"","node_1","node_2","uniprot_id"
"1214","P84085","P15153",0.4
"16603","P84085","Q8NFJ9",0.401
"19700","P84085","Q9H267",0.409
"691","P84085","P08567",0.422
"35312","P84085","Q92786",0.437
"67949","P84085","Q9NRD5",0.45
"14930","P84085","Q9UJY4",0.457
"23332","P84085","Q8TDY4",0.463
"58282","P84085","Q7Z3U7",0.48
"11192","P84085","P61006",0.49
"20642","P84085","Q6WKZ4",0.499
"3141","P84085","O14939",0.501
"19120","P84085","P62136",0.527
"10620","P84085","Q5S007",0.529
"75484","P84085","Q96PV0",0.54
"35041","P84085","P09874",0.543
"2","P84085","A5PKW4",0.55
"22416","P84085","P61966",0.565
"1202","P84085","Q9UIA0",0.579
"10812","P84085","Q9Y3Q3",0.607
"3270","P84085","Q9H254",0.623
"29061","P84085","Q01082",0.625
"29420","P84085","Q01484",0.626
"27702","P84085","Q14161",0.638
"24543","P84085","Q9UJY5",0.645
"13569","P84085","Q9UPQ3",0.646
"85705","P84085","O15020",0.657
"220","P84085","Q9UI14",0.658
"69732","P84085","O43731",0.67
"2733","P84085","Q15363",0.671
"7038","P84085","O43150",0.741
"3020","P84085","O14579",0.745
"91875","P84085","P61923",0.757
"18621","P84085","Q9Y678",0.771
"102302","P84085","Q86YS3",0.774
"20104","P84085","P35606",0.781
"2765","P84085","O75154",0.96
"82241","Q9NR63","P19793",0.401
"64340","Q9NR63","O75452",0.417
"63707","Q9NR63","P48449",0.433
"1820","Q9NR63","Q92781",0.441
"45328","Q9NR63","Q6NUK4",0.47
"1871","Q9NR63","Q02318",0.483
"21424","Q9NR63","P58012",0.493
"4650","Q9NR63","Q14534",0.505
"14570","Q9NR63","O75881",0.509
"608","Q9NR63","P09455",0.524
"100831","Q9NR63","O75911",0.542
"70264","Q9NR63","P13631",0.554
"39342","Q9NR63","P05093",0.592
"5876","Q9NR63","Q9Y2D4",0.593
"21087","Q9NR63","P10826",0.594
"28328","Q9NR63","Q6UW02",0.595
"102525","Q9NR63","P29373",0.665
"94248","Q9NR63","Q9BX79",0.678
"829","Q9NR63","Q8IZV5",0.68
"46911","Q9NR63","Q06278",0.906
"269","Q9NR63","P20815",0.929
"10245","Q9NR63","P00352",0.962
"1261","Q9NR63","O94788",0.981
"79339","O14792","Q8N307",0.402
"72242","O14792","Q96HQ2",0.418
"2897","O14792","Q9H2A9",0.422
"14075","O14792","O43916",0.424
"27530","O14792","O95461",0.439
"44477","O14792","Q7LGC8",0.453
"36779","O14792","Q16570",0.457
"51555","O14792","Q96DC8",0.469
"75080","O14792","Q7LFX5",0.475
"872","O14792","P10124",0.48
"72469","O14792","Q12923",0.489
"41309","O14792","P61326",0.49
"70630","O14792","Q9NS00",0.497
"9695","O14792","P04843",0.505
"52150","O14792","Q8N0V5",0.524
"31647","O14792","Q8IWU5",0.535
"2034","O14792","Q8IWU6",0.586
"35667","O14792","Q9ULL1",0.606
"16364","O14792","Q9P109",0.616
"50355","O14792","Q16394",0.637
"84901","O14792","Q96MM7",0.71
"1985","O14792","O60243",0.816
"35788","O14792","Q9Y2C2",0.871
"43307","O14792","P31431",0.93
"53994","O14792","P18827",0.932
"25842","O14792","O75056",0.935
"51776","O14792","O00468",0.936
"59086","O14792","P51654",0.945
"13489","O14792","P34741",0.958
"65313","Q13275","P78352",0.405
"14099","Q13275","Q16555",0.407
"64117","Q13275","P54762",0.409
"599","Q13275","Q92187",0.42
"92801","Q13275","Q96B86",0.424
"27669","Q13275","Q96FE5",0.429
"13895","Q13275","O00212",0.432
"3","Q13275","Q9BZR6",0.435
"63020","Q13275","P13612",0.443
"2538","Q13275","P35916",0.455
"244","Q13275","P14210",0.455
"79129","Q13275","Q9C0A1",0.456
"27143","Q13275","P02751",0.456
"3432","Q13275","Q9UPQ7",0.47
"39043","Q13275","Q93097",0.47
"30905","Q13275","Q8TDZ2",0.474
"63807","Q13275","Q96MS0",0.475
"38661","Q13275","P01138",0.479
"69413","Q13275","P61073",0.479
"39","Q13275","P98172",0.48
"85452","Q13275","P09086",0.481
"19922","Q13275","P52803",0.492
"9792","Q13275","Q04912",0.496
"21890","Q13275","Q8IZJ1",0.509
"51241","Q13275","Q92823",0.51
"56507","Q13275","P20916",0.511
"16489","Q13275","P08581",0.526
"82594","Q13275","Q9Y6N7",0.535
"3636","Q13275","P35968",0.536
"48079","Q13275","P61587",0.546
"35422","Q13275","O75051",0.561
"57681","Q13275","O14908",0.594
"6321","Q13275","P21709",0.614
"80468","Q13275","Q9HCK4",0.618
"56073","Q13275","Q9UF33",0.703
"18","Q13275","O95631",0.707
"99229","Q13275","P15692",0.889
"605","Q16654","Q08426",0.593
"1903","Q13275","O60486",0.973
"32156","Q13275","O60462",0.995
"4449","Q13275","O14786",0.998
"52099","Q16654","Q12778",0.599
"69999","Q16654","Q15120",0.606
"7979","Q16654","P37231",0.627
"29931","Q16654","P60709",0.4
"17214","Q16654","P35558",0.631
"17782","Q16654","P14672",0.695
"67561","Q16654","P11474",0.699
"60958","Q16654","Q92523",0.742
"31082","Q9UHR4","Q99683",0.406
"53575","Q16654","P30825",0.405
"1109","Q16654","P20393",0.408
