diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
MONDO_0007254	breast cancer	CHEMBL395091	ESKETAMINE	Small molecule	Glutamate [NMDA] receptor negative allosteric modulator	Negative allosteric modulator	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	4	Recruiting	https://clinicaltrials.gov/study/NCT05732064
MONDO_0007254	breast cancer	CHEMBL924	ZOLEDRONIC ACID ANHYDROUS	Small molecule	Farnesyl diphosphate synthase inhibitor		FDPS	farnesyl diphosphate synthase	4	Completed	https://clinicaltrials.gov/study/NCT00172029,https://clinicaltrials.gov/study/NCT01907880,https://clinicaltrials.gov/study/NCT01129336
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	4	Recruiting	https://clinicaltrials.gov/study/NCT05131841,https://clinicaltrials.gov/study/NCT03355157,https://clinicaltrials.gov/study/NCT03270007
MONDO_0007254	breast cancer	CHEMBL1201568	PEGFILGRASTIM	Protein	Granulocyte colony stimulating factor receptor agonist		CSF3R	colony stimulating factor 3 receptor	4	Completed	https://clinicaltrials.gov/study/NCT03511378,https://clinicaltrials.gov/study/NCT02805205,https://clinicaltrials.gov/study/NCT02805153
EFO_0000432	breast ductal carcinoma in situ	CHEMBL1077896	ROPIVACAINE	Small molecule	Sodium channel alpha subunit blocker		SCN4A	sodium voltage-gated channel alpha subunit 4	4	Completed	https://clinicaltrials.gov/study/NCT04248179
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4	Completed	https://clinicaltrials.gov/study/NCT02864030,https://clinicaltrials.gov/study/NCT01961544
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	4	Withdrawn	https://clinicaltrials.gov/study/NCT00774241
MONDO_0007254	breast cancer	CHEMBL79	LIDOCAINE	Small molecule	Sodium channel alpha subunit blocker		SCN2A	sodium voltage-gated channel alpha subunit 2	4	Recruiting	https://clinicaltrials.gov/study/NCT05072314
MONDO_0007254	breast cancer	CHEMBL3301610	ABEMACICLIB	Small molecule	Cyclin-dependent kinase 6 inhibitor		CDK6	cyclin dependent kinase 6	4	Withdrawn	https://clinicaltrials.gov/study/NCT03988114
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9dc35c59-f4f3-43b4-8251-0cf5c06cdc80
MONDO_0007254	breast cancer	CHEMBL79	LIDOCAINE	Small molecule	Sodium channel alpha subunit blocker		SCN5A	sodium voltage-gated channel alpha subunit 5	4	Recruiting	https://clinicaltrials.gov/study/NCT05072314
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	4	Recruiting	https://clinicaltrials.gov/study/NCT05420454,https://clinicaltrials.gov/study/NCT05420467,https://clinicaltrials.gov/study/NCT04136782,https://clinicaltrials.gov/study/NCT02627248,https://clinicaltrials.gov/study/NCT06217185,https://clinicaltrials.gov/study/NCT04182568
MONDO_0007254	breast cancer	CHEMBL1358	FULVESTRANT	Small molecule	Estrogen receptor antagonist		ESR1	estrogen receptor 1	4	Completed	https://clinicaltrials.gov/study/NCT02447328
MONDO_0004658	breast carcinoma in situ	CHEMBL1655	TOREMIFENE	Small molecule	Estrogen receptor modulator		ESR2	estrogen receptor 2	4	Withdrawn	https://clinicaltrials.gov/study/NCT03238703
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	4	Recruiting	https://clinicaltrials.gov/study/NCT02627248,https://clinicaltrials.gov/study/NCT06217185,https://clinicaltrials.gov/study/NCT04136782,https://clinicaltrials.gov/study/NCT04182568,https://clinicaltrials.gov/study/NCT05420467,https://clinicaltrials.gov/study/NCT05420454
EFO_0000305	breast carcinoma	CHEMBL3545110	RIBOCICLIB	Small molecule	Cyclin-dependent kinase 6 inhibitor		CDK6	cyclin dependent kinase 6	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209092s000lbl.pdf
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT04137640
MONDO_0007254	breast cancer	CHEMBL1358	FULVESTRANT	Small molecule	Estrogen receptor antagonist		ESR1	estrogen receptor 1	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT03591549,https://clinicaltrials.gov/study/NCT05191914
