"gene_id","logFC","logCPM","F","PValue","FDR","logFC_abs"
"ENSG00000000005",-5.87173288464292,3.6750352916489,405.394206505502,6.77157872311653e-68,3.19238801036346e-67,5.87173288464292
"ENSG00000000460",1.37172028981373,2.64688349638297,867.66859397898,1.5444451319568e-114,1.70551642373969e-113,1.37172028981373
"ENSG00000000938",-1.61677869220712,4.96218771662958,177.402848639087,3.2629464022442e-35,8.29199336598521e-35,1.61677869220712
"ENSG00000000971",-1.14144936864346,6.95906712438105,134.487185069537,6.27449614837483e-28,1.38565223583145e-27,1.14144936864346
"ENSG00000001626",1.65501366737101,0.111776978598896,58.037726453267,1.17972969092748e-13,1.86447410643354e-13,1.65501366737101
"ENSG00000001631",-2.63243077923953,4.98962790523149,5683.43004302238,2.40231316220099e-289,5.13484259127402e-287,2.63243077923953
"ENSG00000002016",-1.00062311216131,3.82030511880985,215.651349778049,2.44186745560025e-41,6.99713485175522e-41,1.00062311216131
"ENSG00000002079",1.35137555224945,-2.83687919901622,125.408061985528,3.43632557700033e-27,7.4574947257875e-27,1.35137555224945
"ENSG00000002330",-1.22716695468504,4.33761029067826,302.780324504044,3.38293082104141e-54,1.23194168594147e-53,1.22716695468504
"ENSG00000002726",3.50089616844233,0.314086314046661,239.968883165875,6.07213883657062e-45,1.86815669353481e-44,3.50089616844233
"ENSG00000002822",-5.66804150532664,4.11280932036366,5744.74775578933,1.92485192885063e-290,4.18522546116127e-288,5.66804150532664
"ENSG00000002834",2.24702478380097,7.89303074445757,1051.58582406124,5.32410462066943e-129,7.55681298494791e-128,2.24702478380097
"ENSG00000002919",1.04944913264508,4.53395290478898,332.76940348027,2.57979225005167e-58,1.0198670866897e-57,1.04944913264508
"ENSG00000003137",-3.28284378842891,5.36071804293891,273.79738632821,4.48749288469345e-50,1.51679905571882e-49,3.28284378842891
"ENSG00000003249",3.44259126601582,4.01606592285151,866.406894535353,1.92874482934425e-114,2.12710109688328e-113,3.44259126601582
"ENSG00000003402",-1.45426567105725,7.9382850332924,485.593723867114,2.62705871367103e-77,1.47538799546227e-76,1.45426567105725
"ENSG00000003436",-1.2493686406024,6.28048827600244,132.275779949058,1.53367624107418e-27,3.35901199655897e-27,1.2493686406024
"ENSG00000003756",-1.65242886011364,7.22979327364292,1496.58111426022,5.39561570578415e-158,1.26007610491933e-156,1.65242886011364
"ENSG00000004139",-1.46549635210634,3.23438997566231,388.107065929513,1.51213501048926e-65,6.81054807760004e-65,1.46549635210634
