"gene_id","logFC","logCPM","F","PValue","FDR","logFC_abs"
"ENSG00000000005",-5.87906349001853,3.35368314480276,1119.0914815586,1.48762246421859e-146,1.0291268697605e-145,5.87906349001853
"ENSG00000000460",1.66022170971882,3.10040589456025,1736.10626510812,1.65264370375736e-189,2.1277673363539e-188,1.66022170971882
"ENSG00000000938",-2.10879250012196,4.70431350501516,618.34148470474,1.24932744120992e-97,4.62533464668186e-97,2.10879250012196
"ENSG00000000971",-1.54434208388489,6.73640737356135,419.297624161644,5.45890064331118e-73,1.49606930694587e-72,1.54434208388489
"ENSG00000001461",1.14824279490361,4.93706079924122,490.611887695939,2.67860070697215e-82,8.19429920416923e-82,1.14824279490361
"ENSG00000001629",1.01133177491945,6.01201732312885,1194.78572574976,5.205966038021e-152,3.87202045634778e-151,1.01133177491945
"ENSG00000001630",1.03673116180528,0.751192951795347,230.115693998022,5.8962325487439e-45,1.15985330385158e-44,1.03673116180528
"ENSG00000001631",-2.34869427855334,4.74570074185312,7141.50212837201,0,0,2.34869427855334
"ENSG00000002079",1.07868169366773,-2.72329058690765,153.440989695476,8.57936693051148e-33,1.46904373031832e-32,1.07868169366773
"ENSG00000002330",-1.24580981235604,4.1666607096356,554.01111589079,4.16613795052829e-90,1.41043654567871e-89,1.24580981235604
"ENSG00000002726",3.85810557791301,1.38542518029485,369.908461887869,5.17525729058852e-66,1.29897897146987e-65,3.85810557791301
"ENSG00000002822",-5.92664444055685,3.78725607422626,10907.9400286689,0,0,5.92664444055685
"ENSG00000002834",1.58070780031209,7.97016780234431,870.418087812342,6.75930177198537e-124,3.44404633651423e-123,1.58070780031209
"ENSG00000003096",-1.06804141057006,3.31090345084311,84.3164261017705,4.98400881065976e-19,7.21594156325841e-19,1.06804141057006
"ENSG00000003137",-3.66817994050471,5.05934871145748,845.71091424349,1.67277088775668e-121,8.29256652539082e-121,3.66817994050471
"ENSG00000003249",3.08579030064789,4.48222667215136,1173.53292747005,2.61733768466432e-150,1.90051065024081e-149,3.08579030064789
"ENSG00000003400",-1.36673932827788,4.3837855617209,386.500202513208,1.67906496686401e-68,4.34859695581555e-68,1.36673932827788
"ENSG00000003402",-1.90790112410344,7.6901647429815,1617.71097998499,4.1310821103695e-182,4.72051204802291e-181,1.90790112410344
"ENSG00000003436",-1.86793384171735,6.02453957682502,347.76961176028,5.0701958259365e-63,1.22287068101195e-62,1.86793384171735
"ENSG00000003756",-1.3651468268921,7.06415400840948,1912.69519475174,5.54791032052974e-200,8.29512426781005e-199,1.3651468268921
"ENSG00000003989",1.72329102987461,7.57858654224084,288.96466852029,2.74037903016088e-54,5.97459639552928e-54,1.72329102987461
"ENSG00000004142",1.08495068851311,6.76947507775076,812.875109213324,2.67644853715207e-118,1.27232478988236e-117,1.08495068851311
"ENSG00000004478",2.62385798071905,7.63823224037265,2410.45783914638,5.73896038185403e-226,1.23971135825287e-224,2.62385798071905
"ENSG00000004534",-1.43781773255242,7.36616540720075,1349.60870866626,9.4358542062378e-164,8.20961660838154e-163,1.43781773255242
"ENSG00000004776",-7.2106621754971,6.62756513128059,2589.77646961753,7.95081571610564e-234,1.91090627722312e-232,7.2106621754971
"ENSG00000004777",-1.19731890952369,4.844067068301,335.817275267693,2.74620754966607e-61,6.48964130451813e-61,1.19731890952369
"ENSG00000004799",-5.17265427854721,9.62839175786247,1208.27491020574,4.52518270475734e-153,3.41258916130241e-152,5.17265427854721
"ENSG00000004838",3.49689118743247,2.53371060001563,1741.24006392765,2.02482083546469e-189,2.60262191917602e-188,3.49689118743247
"ENSG00000004846",-4.88308790426511,2.02596665926755,820.561382840858,3.39878740446697e-120,1.65597463800888e-119,4.88308790426511
"ENSG00000004848",3.11277325745017,-0.306962583788965,333.832592852723,2.54379875066239e-61,6.01437783883744e-61,3.11277325745017
"ENSG00000004939",-2.43807999641215,-1.31520187020904,168.376900118083,4.43516329670281e-35,7.78806506889507e-35,2.43807999641215
"ENSG00000004948",2.53030541365326,-0.569711270403861,262.996249594131,2.23703782794636e-50,4.67019787034925e-50,2.53030541365326
"ENSG00000004961",1.15628090291325,4.28962936864428,696.597546249101,2.70417986626191e-106,1.11192549644014e-105,1.15628090291325
"ENSG00000005102",-4.24795924019132,5.04799159144198,953.947560024137,1.27192746487617e-131,7.21213562523618e-131,4.24795924019132
"ENSG00000005108",-2.30686739579132,3.9416858841009,828.32117230396,8.25384358097637e-120,4.00470637980011e-119,2.30686739579132
"ENSG00000005156",1.54937513959599,5.19960485919971,1429.42994485943,1.84912025294888e-169,1.75590949734105e-168,1.54937513959599
"ENSG00000005175",1.33471401016579,4.88029714684897,2426.98148534147,9.35045865709908e-227,2.03687659791582e-225,1.33471401016579
"ENSG00000005187",-1.53781628527442,2.24763419633923,159.17837134064,6.09618225786759e-33,1.04561840334186e-32,1.53781628527442
"ENSG00000005189",1.6103638106656,2.97230264466911,930.57051242235,1.65396529838068e-129,9.07107559331131e-129,1.6103638106656
"ENSG00000005206",-1.25099917908948,6.23490483745459,931.03995392069,1.42362528281518e-129,7.81331498105574e-129,1.25099917908948
"ENSG00000005243",-1.09672385834843,4.68764875203737,186.95616954005,8.75051658732175e-38,1.58626124671997e-37,1.09672385834843
