"gene_id","logFC","logCPM","F","PValue","FDR","logFC_abs"
"ENSG00000000005",2.52339133984083,3.50313041989212,148.049272912107,7.86926128015521e-31,1.41228601874209e-30,2.52339133984083
"ENSG00000000460",-2.03371179868484,3.25710623369181,2189.18556064734,2.64403494751813e-210,5.75144492493709e-209,2.03371179868484
"ENSG00000000938",1.47572228120651,4.81464677414432,285.96967619599,1.90866609089266e-53,4.73561487084542e-53,1.47572228120651
"ENSG00000000971",1.4657707753704,6.78030713662185,297.247900489557,3.83140373404091e-55,9.75802900596697e-55,1.4657707753704
"ENSG00000001167",-1.59006939378792,5.52595214401478,1209.4388275786,1.52466882991474e-150,1.46191380711006e-149,1.59006939378792
"ENSG00000001461",-1.50327409395474,5.07029477018206,794.776679429349,7.13525057977919e-115,4.12400391001904e-114,1.50327409395474
"ENSG00000001626",-1.46650870763296,0.288094504054341,71.5586025766704,1.8163375461871e-16,2.65960498387379e-16,1.46650870763296
"ENSG00000001631",2.31790837336166,4.7941879294743,6713.46661568516,0,0,2.31790837336166
"ENSG00000002079",-2.70981477363408,-1.91067517904064,741.990731226201,5.57195725643747e-120,3.46434208068535e-119,2.70981477363408
"ENSG00000002330",1.28595580429064,4.19024920707,524.307759043937,1.48006916576441e-85,5.71180601020068e-85,1.28595580429064
"ENSG00000002726",-3.31245984633943,0.813739451123142,309.449546092863,7.87720561149747e-57,2.05105744613873e-56,3.31245984633943
"ENSG00000002822",5.09382425137733,3.85607238740415,6358.28496217011,0,0,5.09382425137733
"ENSG00000003137",1.80332322332076,5.23206086648322,195.014785239399,5.93572806191465e-39,1.19793692406941e-38,1.80332322332076
"ENSG00000003249",-3.39321160954627,4.61553692856257,1147.23572285693,1.02408447351392e-145,9.12376690890604e-145,3.39321160954627
"ENSG00000003402",1.31799064444408,7.80154724826236,740.369575338449,1.90952731375643e-109,1.02104869592426e-108,1.31799064444408
"ENSG00000003436",2.09440590631805,6.04309773297688,657.766686084166,8.76579618284983e-101,4.17456698375598e-100,2.09440590631805
"ENSG00000003756",1.76121572805144,7.04643380685687,3275.6097850341,3.83909334820278e-256,1.5256363398026e-254,1.76121572805144
"ENSG00000003989",2.58485139010932,6.37348251889206,459.230422215496,1.71815447289347e-77,5.94378383490361e-77,2.58485139010932
"ENSG00000004139",1.64326251006134,3.05368176893522,679.802580396225,4.00984428696636e-103,1.97238960194133e-102,1.64326251006134
"ENSG00000004478",-1.82168183879883,7.01472018264505,980.965281359458,5.19349509228867e-132,3.84351146970784e-131,1.82168183879883
"ENSG00000004487",-1.43203537754015,6.55115645756582,2358.47358145005,1.52573475722209e-218,3.71917508603261e-217,1.43203537754015
"ENSG00000004534",1.6187200295585,7.37587233331475,1592.65383841837,4.99646023863519e-177,7.02385864105405e-176,1.6187200295585
"ENSG00000004776",6.35302862837843,6.69609282586743,1449.26441068802,1.48024841298036e-167,1.81631934223771e-166,6.35302862837843
"ENSG00000004777",1.11493399349423,4.88411450260129,249.970300307209,6.89170777781693e-48,1.58438921153604e-47,1.11493399349423
"ENSG00000004799",5.4438633502034,9.68954721642245,1008.99785774675,2.02511491799223e-134,1.55568038453302e-133,5.4438633502034
"ENSG00000004809",-2.267941654823,-0.960180733890611,365.565145012277,1.9758447603521e-65,5.77203476136957e-65,2.267941654823
"ENSG00000004846",4.39736454218437,2.09467503507871,515.603790668791,9.25341100955832e-85,3.53240076398138e-84,4.39736454218437
"ENSG00000004848",-1.48203693714311,-1.45026258476318,71.9454126300525,1.39629513531586e-16,2.04860998228738e-16,1.48203693714311
"ENSG00000004939",3.22135509566887,-1.30547364191181,253.815341133453,1.73623643278557e-50,4.1309428912472e-50,3.22135509566887
"ENSG00000004961",-1.21450631889346,4.27271270734723,1054.05750938901,3.32888384604462e-138,2.68090798841025e-137,1.21450631889346
"ENSG00000005001",-1.23589593936316,3.24670551089218,52.9868016071192,9.71930580541388e-13,1.33947068700246e-12,1.23589593936316
"ENSG00000005022",-1.18857631402919,7.59493718572658,671.340644089275,3.03449407567453e-102,1.47422667802187e-101,1.18857631402919
"ENSG00000005059",-1.01811417510957,4.28580479632265,370.317944747656,1.15134237712172e-65,3.37258306578828e-65,1.01811417510957
