"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000444810","0.9",,,"0.97","0.72"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","0.5",,,"0.52","0.081"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001146 (ppp) 9606.ENSP00000498424","false","ppp","9606.ENSP00000001146 (ppp) 9606.ENSP00000498424","0.9",,,"0.9",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000498864",,"0.664",,"0.664",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234",,,,"0.957","0.957"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","0.65",,,"0.762","0.349"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000474412","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000474412",,,,"0.643","0.643"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564",,,,"0.406","0.406"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000469613","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000469613",,"0.053",,"0.717","0.714"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000362795","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000362795","0.65",,,"0.969","0.916"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110",,,,"0.568","0.568"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901",,,,"0.56","0.56"
