Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AARSD1	ENSG00000266967.6	14.945	63.979	-2.027	3.47e-126
AASS	ENSG00000008311.14	0.870	60.896	-5.049	5.60e-235
ABCA10	ENSG00000154263.17	0.200	52.075	-5.467	0.00e+0
ABCA5	ENSG00000154265.15	1.890	18.370	-2.745	3.02e-149
ABCA6	ENSG00000154262.12	0.330	46.106	-5.146	4.73e-269
ABCA8	ENSG00000141338.13	0.350	76.968	-5.852	4.83e-299
ABCA9	ENSG00000154258.16	0.170	29.765	-4.717	6.55e-318
ABCB6	ENSG00000115657.12	12.570	56.960	-2.095	2.55e-84
ABCC9	ENSG00000069431.10	0.560	6.165	-2.199	3.83e-76
ABHD11	ENSG00000106077.18	91.470	8.135	3.340	1.59e-132
ABHD17C	ENSG00000136379.11	12.925	1.725	2.353	1.50e-81
ABI3BP	ENSG00000154175.16	2.715	54.388	-3.898	5.06e-86
ABLIM1	ENSG00000099204.18	26.975	136.911	-2.302	2.49e-57
ABO	ENSG00000175164.13	2.225	23.430	-2.921	1.83e-79
ABRACL	ENSG00000146386.7	37.724	3.245	3.189	4.99e-119
AC002398.12	ENSG00000267328.1	0.710	14.830	-3.211	1.38e-81
AC004623.3	ENSG00000279488.1	0.285	4.515	-2.102	1.48e-161
AC005083.1	ENSG00000233834.6	4.465	0.060	2.366	9.70e-63
AC005104.3	ENSG00000223374.1	0.425	6.010	-2.298	5.03e-165
AC005154.6	ENSG00000196295.11	10.455	52.250	-2.217	2.42e-104
AC005517.3	ENSG00000223878.1	0.305	4.664	-2.118	2.04e-132
AC005519.4	ENSG00000258559.2	0.950	9.595	-2.442	2.80e-118
AC005786.7	ENSG00000267436.1	0.000	3.425	-2.146	7.12e-53
AC005943.2	ENSG00000267059.2	6.885	0.000	2.979	7.26e-41
AC006449.2	ENSG00000279119.1	0.135	41.214	-5.217	2.39e-117
AC006942.4	ENSG00000269194.1	0.960	7.545	-2.124	1.19e-121
AC007009.1	ENSG00000244239.1	6.155	0.150	2.637	7.96e-71
AC008992.1	ENSG00000267636.1	0.000	5.310	-2.658	2.34e-208
AC009120.6	ENSG00000259972.2	3.490	21.485	-2.324	4.52e-100
AC009501.4	ENSG00000231609.5	0.230	4.295	-2.106	6.31e-205
AC012360.6	ENSG00000238273.3	0.150	10.240	-3.289	1.95e-209
AC018766.4	ENSG00000267896.1	1.625	15.400	-2.643	5.54e-126
AC025165.8	ENSG00000224713.4	0.170	7.135	-2.798	4.85e-229
AC034220.3	ENSG00000233006.6	1.935	13.140	-2.268	4.08e-121
AC068587.2	ENSG00000238460.1	0.000	5.279	-2.650	1.05e-36
AC079781.7	ENSG00000232032.1	0.000	5.649	-2.733	3.42e-63
AC092155.4	ENSG00000226622.5	0.000	3.325	-2.113	1.05e-205
AC093110.3	ENSG00000238018.2	0.450	6.550	-2.380	3.11e-148
AC093642.1	ENSG00000280119.1	0.020	3.350	-2.092	7.58e-218
AC093642.3	ENSG00000237940.3	0.395	7.435	-2.596	2.66e-141
AC093838.4	ENSG00000152117.17	5.750	33.714	-2.363	1.52e-98
AC108488.4	ENSG00000242282.6	1.855	12.404	-2.231	8.98e-104
AC114730.11	ENSG00000235351.1	0.280	5.990	-2.449	7.75e-147
AC132217.4	ENSG00000240801.1	9.825	62.968	-2.563	1.92e-8
AC137695.1	ENSG00000280727.1	3.085	0.000	2.030	5.22e-6
AC159540.1	ENSG00000230606.10	9.010	52.376	-2.415	8.49e-53
AC234582.1	ENSG00000279487.1	102.928	0.990	5.707	2.41e-114
AC239868.2	ENSG00000280874.1	25.114	2.580	2.867	4.52e-20
AC239868.3	ENSG00000281134.1	25.114	2.580	2.867	4.52e-20
AC245100.1	ENSG00000280649.1	13.810	2.400	2.123	6.76e-84
ACACB	ENSG00000076555.15	2.735	22.875	-2.676	8.19e-112
ACAD11	ENSG00000240303.7	3.835	37.627	-2.998	3.98e-157
ACADL	ENSG00000115361.7	0.080	17.344	-4.086	4.51e-286
ACADVL	ENSG00000072778.19	117.628	665.640	-2.490	7.10e-103
ACAP3	ENSG00000131584.18	9.085	67.216	-2.758	6.01e-106
ACCS	ENSG00000110455.13	6.255	37.791	-2.419	3.36e-88
ACKR1	ENSG00000213088.9	1.760	10.883	-2.106	3.77e-38
ACOX2	ENSG00000168306.12	4.535	27.269	-2.353	1.02e-76
ACSM3	ENSG00000005187.11	11.015	215.814	-4.174	5.43e-132
ACTA2	ENSG00000107796.12	95.570	439.539	-2.190	4.49e-31
ACTA2-AS1	ENSG00000180139.11	0.885	13.314	-2.925	4.15e-85
ADAM33	ENSG00000149451.17	1.650	75.727	-4.856	9.31e-127
ADAMTS1	ENSG00000154734.14	16.400	375.898	-4.437	1.02e-111
ADAMTS10	ENSG00000142303.13	2.240	36.339	-3.527	3.22e-119
ADAMTS16	ENSG00000145536.15	0.245	10.430	-3.199	1.52e-82
ADAMTS4	ENSG00000158859.9	0.925	37.944	-4.338	4.38e-125
ADAMTS5	ENSG00000154736.5	0.490	8.765	-2.712	2.02e-119
ADAMTS9-AS1	ENSG00000241158.5	0.500	34.265	-4.555	3.13e-191
ADAMTS9-AS2	ENSG00000241684.5	0.200	12.910	-3.535	1.61e-269
ADAMTSL4	ENSG00000143382.13	4.255	33.343	-2.708	5.03e-99
ADAP1	ENSG00000105963.13	9.735	1.635	2.026	6.03e-52
ADCY10P1	ENSG00000161912.17	0.450	7.330	-2.522	8.61e-135
ADCY2	ENSG00000078295.15	0.130	6.385	-2.708	5.94e-115
ADCY3	ENSG00000138031.14	17.890	89.390	-2.258	1.61e-80
ADCY4	ENSG00000129467.13	2.030	14.904	-2.392	1.88e-65
ADCY6	ENSG00000174233.11	6.070	45.282	-2.711	1.10e-98
