"","node_1","node_2","score"
"976","CD74","HLA-DMA",0.937
"320","PDK4","ITPR1",0.786
"2477","PDK4","GS1-358P8.4",0.664
"511","HSPB6","SFN",0.9
"310","BAIAP2L1","RAC3",0.55
"126","BAIAP2L1","RHOF",0.555
"2396","BAIAP2L1","ESPN",0.424
"50","BAIAP2L1","CYBA",0.422
"2343","BAIAP2L1","EPS8",0.564
"1650","CD74","HLA-DMB",0.903
"4","CD74","HLA-DOA",0.9
"208","CD74","C5orf45",0.403
"2015","CD74","SMKR1",0.403
"980","CD74","HLA-DQB1",0.935
"1000","CD74","OTUD3",0.409
"824","CD74","LPAR3",0.487
"1585","CD74","HLA-DPA1",0.926
"1715","CD74","HLA-DPB1",0.943
"503","CD74","HLA-DQA1",0.955
"15","CD74","U3",0.461
"1527","CD74","CXCR4",0.987
"2070","CD74","AP1M2",0.499
"1327","CD74","HLA-DRA",0.993
"986","CD74","HLA-DRB5",0.931
"1606","CD74","HLA-DQB2",0.692
"650","CD74","HLA-DRB1",0.971
"90","DCN","FGF2",0.637
"1523","CD74","RPL31",0.495
"2","CD74","MIF",0.996
"106","CLDN11","CLDN16",0.65
"1630","CLDN11","CLDN9",0.668
"972","INMT","AOX1",0.408
"634","DCN","ELN",0.975
"1","DCN","FGF22",0.894
"119","DCN","LUM",0.76
"43","DCN","THBS1",0.621
"120","DCN","ERBB3",0.9
"2185","DCN","P3H3",0.958
"219","CLDN11","CLDN1",0.65
"148","DCN","FGF18",0.893
"1489","CLDN11","CLDN5",0.65
"1283","CLDN11","CLDN3",0.758
"708","CD22","CXCL9",0.562
"1375","CLDN11","CLDN6",0.65
"9","DCN","LRP1",0.784
"658","CLDN11","CLDN7",0.65
"2048","CLDN11","TJP3",0.675
"1721","CLDN11","CLDN4",0.651
"1017","CD22","SYK",0.805
"101","DCN","FGF10",0.893
"1993","CD22","IGKV2D-28",0.499
"249","CLDN11","CLDN10",0.65
"351","TRIB2","TRIB1",0.671
"1117","DCN","SDC1",0.701
"12","CD22","PLCG1",0.527
"238","DCN","COL14A1",0.856
"1562","CD22","PTPN6",0.974
"38","DCN","MMP7",0.422
"413","DCN","FBN1",0.5
"131","DCN","FGF7",0.893
"631","TRIP13","MPPED2",0.42
"1351","FSTL3","BMP7",0.412
"879","TRIP13","CDC20",0.95
"218","FSTL3","INHBB",0.7
"697","CLIC5","DFNB31",0.499
"226","TRIP13","MAD2L1",0.961
"178","TRIP13","BUB1B",0.457
"386","NTN1","IGDCC4",0.432
"1663","ITGB4","LAMA2",0.499
"2365","CLIC5","DFNB59",0.499
"473","CLIC5","PLS1",0.825
"2352","CLIC5","MYO15A",0.499
"811","ITGB4","ITGA10",0.734
"545","CLIC5","EPB41L3",0.499
"156","NTN1","ABLIM1",0.499
"448","NTN1","UNC5A",0.982
"2395","CLIC5","ESPN",0.499
"1388","NTN1","ROBO3",0.503
"2342","CLIC5","EPS8",0.499
"605","CLIC5","SPTBN1",0.499
"33","TRO","TROAP",0.974
"1176","ITGB4","LAMB3",0.558
"415","PPP1R15A","PPP1CA",0.989
"1717","PPP1R15A","PPP1R3E",0.54
"1092","ITGB4","EMILIN1",0.54
"331","ITGB4","DST",0.95
