"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000325120","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000325120","0.8","0.089",,"0.926","0.627"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","0.5",,,"0.52","0.081"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","0.8","0.457",,"0.975","0.791"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","0.8","0.089",,"0.891","0.452"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882",,"0.077",,"0.692","0.68"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314",,,,"0.551","0.551"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000342143","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000342143",,"0.457",,"0.863","0.759"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820",,"0.236",,"0.447","0.306"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000356102","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000356102",,"0.322",,"0.7","0.576"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654",,,,"0.426","0.426"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553",,"0.457",,"0.513","0.141"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","0.9","0.549",,"0.999","0.981"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198",,,,"0.418","0.418"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000373489","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000373489",,"0.315",,"0.52","0.329"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000449404","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000449404",,"0.405",,"0.647","0.432"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000338934","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000338934",,"0.457",,"0.771","0.597"
"ppp","9606.ENSP00000011292 (ppp) 9606.ENSP00000222481","false","ppp","9606.ENSP00000011292 (ppp) 9606.ENSP00000222481","0.9",,,"0.9",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000355865","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000355865","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000285379","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000285379",,,,"0.449","0.449"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000385834","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000385834","0.4","0.057",,"0.41",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564",,,,"0.406","0.406"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110",,,,"0.568","0.568"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000225474","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000225474",,,,"0.853","0.853"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000319635","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000319635","0.65",,,"0.823","0.517"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260",,"0.8",,"0.8",
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733",,,,"0.412","0.413"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832",,,,"0.408","0.409"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553",,"0.39",,"0.832","0.736"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565",,"0.292",,"0.716","0.616"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721",,"0.943",,"0.998","0.98"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597",,"0.23",,"0.667","0.586"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000415090","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000415090",,"0.926",,"0.958","0.456"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000262150","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000262150","0.54",,,"0.54",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234",,,,"0.957","0.957"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000252723","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000252723",,,,"0.526","0.526"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171",,,,"0.912","0.912"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498",,,,"0.937","0.937"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298",,,,"0.524","0.524"
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000334448",,"0.803",,"0.802",
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000356213","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000356213",,"0.081",,"0.674","0.66"
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000176195","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000176195","0.9","0.926",,"0.999","0.952"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000371689","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000371689","0.54",,,"0.54",
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000296526","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000296526",,,,"0.679","0.679"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000275493","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000275493",,,,"0.572","0.572"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000164024","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000164024",,,,"0.48","0.48"
