"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"ESR1","estrogen receptor 1",235,4,5,11,0
"KIF20A","kinesin family member 20A",169,13,12,9,0
"H2BC9","H2B clustered histone 9",167,27,23,17,0
"EZR","ezrin",139,13,18,6,0
"KIF18B","kinesin family member 18B",128,3,5,5,0
"H2BC7","H2B clustered histone 7",113,1,3,3,0
"H2BC21","H2B clustered histone 21",109,3,2,4,0
"KIF2C","kinesin family member 2C",104,1,5,7,0
"ACTN2","actinin alpha 2",94,2,1,1,0
"FOXA1","forkhead box A1",94,1,1,1,0
"ANLN","anillin, actin binding protein",79,29,31,0,0
"MBOAT2","membrane bound O-acyltransferase domain containing 2",76,20,28,0,0
"H2BC12","H2B clustered histone 12",74,16,22,0,0
"RECQL4","RecQ like helicase 4",61,24,30,0,0
"UGCG","UDP-glucose ceramide glucosyltransferase",59,2,4,0,0
"H2BC4","H2B clustered histone 4",56,19,28,0,1
"AP1M2","adaptor related protein complex 1 subunit mu 2",54,19,12,0,0
"SYCP2","synaptonemal complex protein 2",54,4,4,0,0
"MMP13","matrix metallopeptidase 13",49,6,10,0,0
"IGF1R","insulin like growth factor 1 receptor",48,9,14,0,2
"BPIFB1","BPI fold containing family B member 1",44,7,11,0,0
"KCNK1","potassium two pore domain channel subfamily K member 1",37,7,8,0,0
"KIF14","kinesin family member 14",36,1,2,0,0
"SLC7A8","solute carrier family 7 member 8",36,8,19,0,5
"CENPE","centromere protein E",31,1,4,0,4
"SPAG17","sperm associated antigen 17",31,3,5,0,4
"FN1","fibronectin 1",30,1,3,0,3
"TNR","tenascin R",28,1,2,0,2
"CCND1","cyclin D1",27,39,0,42,21
"H2BC11","H2B clustered histone 11",27,3,4,0,7
"RPL3L","ribosomal protein L3 like",27,1,2,0,2
"H2BC5","H2B clustered histone 5",24,46,45,61,56
"KIF4A","kinesin family member 4A",19,4,9,21,0
"PIEZO2","piezo type mechanosensitive ion channel component 2",18,4,0,8,0
"E2F1","E2F transcription factor 1",14,27,0,0,18
"RMI2","RecQ mediated genome instability 2",14,39,14,29,43
"SOX2","SRY-box transcription factor 2",14,37,7,22,45
"CELSR1","cadherin EGF LAG seven-pass G-type receptor 1",13,21,16,0,39
"ATP8A2","ATPase phospholipid transporting 8A2",11,11,0,0,20
"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12",11,4,1,0,11
"KIF11","kinesin family member 11",11,29,0,11,32
"NOX5","NADPH oxidase 5",11,12,15,15,61
"EPN3","epsin 3",10,1,2,0,5
"ERBB4","erb-b2 receptor tyrosine kinase 4",8,4,0,10,0
"SYT1","synaptotagmin 1",8,18,0,33,5
"C15orf48","chromosome 15 open reading frame 48",7,2,0,0,0
"CENPU","centromere protein U",7,1,0,0,3
"EXO1","exonuclease 1",7,14,0,20,0
"ABCC8","ATP binding cassette subfamily C member 8",6,15,0,2,17
"ATP8B1","ATPase phospholipid transporting 8B1",6,23,24,44,30
"DNAH14","dynein axonemal heavy chain 14",5,4,1,14,0
"MAPK15","mitogen-activated protein kinase 15",4,0,28,39,19
"STAC3","SH3 and cysteine rich domain 3",4,10,0,19,10
"UCP1","uncoupling protein 1",4,5,0,11,6
"CCNB1","cyclin B1",3,0,28,33,32
"CERS6","ceramide synthase 6",3,0,29,34,25
"MSLN","mesothelin",3,0,0,9,13
"PLK1","polo like kinase 1",3,0,19,14,27
"SIDT1","SID1 transmembrane family member 1",3,0,1,1,0
"BGN","biglycan",2,0,5,14,3
"BNIPL","BCL2 interacting protein like",2,0,21,21,13
"FAAH2","fatty acid amide hydrolase 2",2,0,2,0,0
"KCNK6","potassium two pore domain channel subfamily K member 6",2,0,5,5,0
"PLPP4","phospholipid phosphatase 4",2,0,16,14,27
"FBXL16","F-box and leucine rich repeat protein 16",1,0,0,2,0
"ROBO2","roundabout guidance receptor 2",1,0,13,8,8
