"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0AVK6","E2F8","1",0,1,1.42196591861937,"AF-A0AVK6-F1-model_v4","A0AVK6-F1",0.187,0.562,1,53.6931614756577
"2","A1L190","SYCE3","1",0,3,1.55485365255676,"AF-A1L190-F1-model_v4","A1L190-F1",0.353,0.661,2,92.3110204081633
"3","A4D1S5","RAB19","1",0,1,1.46844497306162,"AF-A4D1S5-F1-model_v4","A4D1S5-F1",0.119,0.372,0,84.7372653061225
"4","A4QMS7","CFAP90","1",1749,2,1.66529178022798,"AF-A4QMS7-F1-model_v4","A4QMS7-F1",0.256,0.204,0,75.3620233139051
"5","A6NHL2","TUBAL3","1",0,1,1.04296974428016,"AF-A6NHL2-F1-model_v4","A6NHL2-F1",0.166,0.622,1,91.2046776953793
"6","A8MU46","SMTNL1","1",2485,3,2.1909197140477,"AF-A8MU46-F1-model_v4","A8MU46-F1",0.132,0.799,1,56.661436270547
"7","B1AK53","ESPN","1",6671,7,1.50796862131309,"AF-B1AK53-F1-model_v4","B1AK53-F1",0.114,0.144,0,68.309967416602
"8","B4DS77","SHISA9","1",0,1,1.63828162174191,"AF-B4DS77-F1-model_v4","B4DS77-F1",0.291,0.987,1,56.9548785670917
"9","C9JRZ8","AKR1B15","1",1749,2,-1.73146627448712,"AF-C9JRZ8-F1-model_v4","C9JRZ8-F1",0.393,0.992,1,97.7242989930287
"10","K7EJ46","SMIM22","55",0,1,2.09442411518559,"AF-K7EJ46-F1-model_v4","K7EJ46-F1",0.255,0.386,0,75.8180834621329
"11","M0R2J8","DCDC1","1",0,1,2.34937572630551,"AF-M0R2J8-F1-model_v4","M0R2J8-F1",0.21,0.737,1,68.5659063497694
"12","O00180","KCNK1","33",0,4,1.16066698805583,"AF-O00180-F1-model_v4","O00180-F1",0.38,0.943,2,83.7794213649852
"13","O00222","GRM8","28",0,1,1.94167764701401,"AF-O00222-F1-model_v4","O00222-F1",0.162,0.921,2,84.3809931458945
"14","O00238","BMPR1B","1",3496,2,4.05644392979766,"AF-O00238-F1-model_v4","O00238-F1",0.206,0.225,0,85.1282622868606
