"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","0.8","0.457",,"0.975","0.791"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","0.5","0.345",,"0.721","0.219"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000370343","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000370343",,"0.292",,"0.592","0.448"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","0.8","0.089",,"0.891","0.452"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000347454","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000347454",,"0.292",,"0.596","0.453"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654",,,,"0.426","0.426"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553",,"0.457",,"0.513","0.141"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000437125","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000437125","0.5",,,"0.838","0.69"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000304783","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000304783",,,,"0.636","0.636"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000437125","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000437125","0.5","0.457",,"0.782","0.263"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","0.9","0.549",,"0.999","0.981"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198",,,,"0.418","0.418"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000238738","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000238738","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000222812","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000222812",,"0.457",,"0.457",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000373489","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000373489",,"0.315",,"0.52","0.329"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000355865","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000355865","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000346148","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000346148",,"0.457",,"0.457",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000449404","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000449404",,"0.405",,"0.647","0.432"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000338934","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000338934",,"0.457",,"0.771","0.597"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000306275","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000306275",,,,"0.443","0.443"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000367459","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000367459","0.4",,,"0.4",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000327145","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000327145",,"0.048",,"0.405","0.401"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000376197","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000376197","0.4",,,"0.4",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000379287","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000379287",,"0.901",,"0.901",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000385834","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000385834","0.4","0.057",,"0.41",
"ppp","9606.ENSP00000005286 (ppp) 9606.ENSP00000322323","false","ppp","9606.ENSP00000005286 (ppp) 9606.ENSP00000322323","0.5",,,"0.499",
"ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000478763","false","ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000478763","0.5",,,"0.637","0.304"
"ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000346671","false","ppp","9606.ENSP00000005587 (ppp) 9606.ENSP00000346671",,"0.457",,"0.457",
"ppp","9606.ENSP00000005995 (ppp) 9606.ENSP00000265016","false","ppp","9606.ENSP00000005995 (ppp) 9606.ENSP00000265016",,"0.421",,"0.42",
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287",,,,"0.614","0.614"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000248553",,"0.39",,"0.832","0.736"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420270","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420270",,"0.418",,"0.449","0.093"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000306253","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000306253",,,,"0.786","0.786"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000378487","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000378487",,,,"0.736","0.736"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565",,"0.292",,"0.716","0.616"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721",,"0.943",,"0.998","0.98"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597",,"0.23",,"0.667","0.586"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000415090","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000415090",,"0.926",,"0.958","0.456"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000480489","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000480489","0.54",,,"0.853","0.694"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000386331","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000386331","0.8","0.926",,"0.998","0.889"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000311035","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000311035",,,,"0.934","0.935"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000452786","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000452786",,"0.549",,"0.549",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000310405","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000310405","0.65",,,"0.766","0.361"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","0.65",,,"0.762","0.349"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000365272","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000365272",,,,"0.408","0.409"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000248564",,,,"0.406","0.406"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000379110",,,,"0.568","0.568"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000354901",,,,"0.56","0.56"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000225474","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000225474",,,,"0.853","0.853"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000319635","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000319635","0.65",,,"0.823","0.517"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332504","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332504","0.65",,,"0.65",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000497260",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332659","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000332659","0.65",,,"0.65",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000302234",,,,"0.957","0.957"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000441600","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000441600","0.65",,,"0.762","0.349"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000252723","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000252723",,,,"0.526","0.526"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000265171",,,,"0.912","0.912"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000351059","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000351059","0.9","0.618",,"0.999","0.983"
"ppp","9606.ENSP00000011292 (ppp) 9606.ENSP00000222481","false","ppp","9606.ENSP00000011292 (ppp) 9606.ENSP00000222481","0.9",,,"0.9",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000292301","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000292301","0.65",,,"0.993","0.982"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000396198","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000396198",,,,"0.938","0.938"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000264498",,,,"0.937","0.937"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000420298",,,,"0.524","0.524"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000261733",,,,"0.412","0.413"
"ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832","false","ppp","9606.ENSP00000013222 (ppp) 9606.ENSP00000363832",,,,"0.408","0.409"
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000409126","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000409126",,,,"0.921","0.921"
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000334448",,"0.803",,"0.802",
"ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000356213","false","ppp","9606.ENSP00000019103 (ppp) 9606.ENSP00000356213",,"0.081",,"0.674","0.66"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000371689","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000371689","0.54",,,"0.54",
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000275493","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000275493",,,,"0.572","0.572"
"ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000164024","false","ppp","9606.ENSP00000027335 (ppp) 9606.ENSP00000164024",,,,"0.48","0.48"
