"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"NUDCD1","NudC domain containing 1",224,2,4,5,0
"ESR1","estrogen receptor 1",178,2,3,5,0
"PLK1","polo like kinase 1",162,2,4,5,0
"DNA2","DNA replication helicase/nuclease 2",159,4,5,3,0
"RFC2","replication factor C subunit 2",102,17,13,8,0
"H2BC11","H2B clustered histone 11",92,2,2,3,0
"H2AC20","H2A clustered histone 20",90,11,18,2,0
"H2BC7","H2B clustered histone 7",89,2,5,9,0
"H2AX","H2A.X variant histone",85,1,1,1,0
"NBN","nibrin",85,2,4,5,0
"KIFC2","kinesin family member C2",82,22,28,0,0
"UBE2S","ubiquitin conjugating enzyme E2 S",72,22,26,0,0
"RPA3","replication protein A3",68,14,23,0,0
"SMC2","structural maintenance of chromosomes 2",58,9,10,0,0
"MBOAT2","membrane bound O-acyltransferase domain containing 2",56,5,9,0,0
"POLR2H","RNA polymerase II, I and III subunit H",56,18,25,0,0
"GBA1","glucosylceramidase beta 1",51,1,1,0,0
"RBBP7","RB binding protein 7, chromatin remodeling factor",51,19,21,0,0
"H2BC5","H2B clustered histone 5",47,15,14,0,0
"H2BC15","H2B clustered histone 15",40,8,11,0,0
"NOX1","NADPH oxidase 1",39,9,10,0,0
"UGCG","UDP-glucose ceramide glucosyltransferase",39,6,7,0,0
"ANLN","anillin, actin binding protein",36,6,7,0,2
"HSP90AA1","heat shock protein 90 alpha family class A member 1",36,7,8,0,6
"SRP54","signal recognition particle 54",35,1,2,0,0
"RAD21","RAD21 cohesin complex component",34,1,3,0,3
"MMP13","matrix metallopeptidase 13",33,1,2,0,2
"RFC4","replication factor C subunit 4",31,1,2,0,2
"OIP5","Opa interacting protein 5",28,2,2,0,3
"IARS2","isoleucyl-tRNA synthetase 2, mitochondrial",27,2,3,0,4
"HM13","histocompatibility minor 13",25,1,2,0,2
"COL12A1","collagen type XII alpha 1 chain",24,1,1,0,1
"P4HB","prolyl 4-hydroxylase subunit beta",22,14,0,20,0
"RFC5","replication factor C subunit 5",22,3,1,0,4
"CDC45","cell division cycle 45",17,10,0,9,0
"CCT5","chaperonin containing TCP1 subunit 5",16,2,0,0,0
"KIF18B","kinesin family member 18B",16,42,0,6,7
"WDR76","WD repeat domain 76",15,17,41,49,30
"CENPE","centromere protein E",14,2,1,0,5
"DHCR7","7-dehydrocholesterol reductase",14,29,4,6,36
"MSMO1","methylsterol monooxygenase 1",14,11,10,0,0
"RARA","retinoic acid receptor alpha",14,7,0,0,14
"KIF23","kinesin family member 23",13,12,34,33,59
"CENPS","centromere protein S",10,1,0,0,1
"ABCA12","ATP binding cassette subfamily A member 12",9,24,11,33,0
"CELSR1","cadherin EGF LAG seven-pass G-type receptor 1",9,14,0,17,0
"CENPX","centromere protein X",9,5,0,9,0
"GAPDH","glyceraldehyde-3-phosphate dehydrogenase",9,4,10,0,38
"HSPA4","heat shock protein family A (Hsp70) member 4",9,2,0,2,0
"PCNA","proliferating cell nuclear antigen",9,9,0,0,0
"SHMT2","serine hydroxymethyltransferase 2",9,40,40,59,56
"RUVBL1","RuvB like AAA ATPase 1",8,3,0,0,0
"TNR","tenascin R",7,9,4,0,32
"H2BC4","H2B clustered histone 4",6,3,0,0,4
"ARHGEF16","Rho guanine nucleotide exchange factor 16",5,15,11,0,38
"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12",5,21,0,19,11
"FBXO45","F-box protein 45",5,17,3,47,16
"H1-4","H1.4 linker histone, cluster member",5,18,0,3,0
"H4C5","H4 clustered histone 5",5,6,0,0,0
"KIF11","kinesin family member 11",5,6,0,0,0
"CACNA1H","calcium voltage-gated channel subunit alpha1 H",4,3,0,0,2
"CENPU","centromere protein U",4,1,0,0,2
"ACAN","aggrecan",3,6,0,0,15
"ASAH2","N-acylsphingosine amidohydrolase 2",3,22,20,40,50
"H2BC9","H2B clustered histone 9",3,7,0,5,2
"RMI1","RecQ mediated genome instability 1",3,4,0,5,5
"SIDT1","SID1 transmembrane family member 1",3,12,0,10,21
"COQ2","coenzyme Q2, polyprenyltransferase",2,0,28,33,8
"H2BC12","H2B clustered histone 12",2,0,13,42,14
"IL4I1","interleukin 4 induced 1",2,1,0,1,1
"MAPK15","mitogen-activated protein kinase 15",2,1,0,4,5
"NDE1","nudE neurodevelopment protein 1",2,0,22,15,46
"PLPP4","phospholipid phosphatase 4",2,1,0,0,1
"TOPBP1","DNA topoisomerase II binding protein 1",2,0,14,30,0
"ACTN2","actinin alpha 2",1,0,1,0,0
"H4C8","H4 clustered histone 8",1,0,3,0,0
"HSD17B7","hydroxysteroid 17-beta dehydrogenase 7",1,0,8,31,7
"KCTD13","potassium channel tetramerization domain containing 13",1,0,15,0,1
"KIF14","kinesin family member 14",1,0,7,4,11
"PRKDC","protein kinase, DNA-activated, catalytic subunit",1,0,23,26,22
"RMI2","RecQ mediated genome instability 2",1,0,19,16,30
"TAF2","TATA-box binding protein associated factor 2",1,0,1,0,1
