"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000088325",-4.46251391451248,6.1624415873627,526.504733340823,1.62692579770451e-116,3.5154612636799e-112
"ENSG00000170312",-3.99831762526246,5.46855843177323,414.524436069728,3.79564812783127e-92,4.1008182373089e-88
"ENSG00000171848",-4.88549810698745,5.90702809298453,401.824478748969,2.20683974077597e-89,1.58951310395624e-85
"ENSG00000117650",-5.50056070470036,4.78751501227167,386.098020930892,5.85266483487021e-86,3.16160954379689e-82
"ENSG00000090889",-4.87492906127611,4.67138552599267,377.169863135277,5.14200503722217e-84,2.22216889688593e-80
"ENSG00000249669",4.90103962852926,5.51027050443538,362.329263710354,8.75785935632744e-81,3.15399708285872e-77
"ENSG00000087586",-3.99727365826112,4.75135006705837,350.814743564464,2.81655498272844e-78,8.69430286668516e-75
"ENSG00000185149",10.238088495691,2.75144055841013,347.821564173691,1.26336558638572e-77,3.41235044882782e-74
"ENSG00000175063",-5.0623473246688,4.91320352284177,345.779663517523,3.51717028620566e-77,8.44433506048131e-74
"ENSG00000169607",-4.51836780657331,3.53534828713068,340.09742494228,6.07649564953445e-76,1.3130091799514e-72
"ENSG00000077152",-3.90594878282593,4.48318104024956,336.953454625516,2.94010366704062e-75,5.77543273067397e-72
"ENSG00000089685",-5.12096654043023,5.33857738441707,331.810245718177,3.8771860566538e-74,6.98151969268128e-71
"ENSG00000066279",-4.66609280273164,5.03585416163561,331.045230902366,5.69030764381296e-74,9.45816673596233e-71
"ENSG00000182601",8.25995572082468,1.03304318051006,330.225372685192,8.58422191546383e-74,1.32491333678102e-70
"ENSG00000101447",-4.54861694984138,4.45312602255728,324.695417635466,1.37454984641136e-72,1.98008487208378e-69
"ENSG00000122952",-3.37079560449967,5.50603067540098,320.913233689267,9.16178389557637e-72,1.23729891509759e-68
"ENSG00000138180",-4.35434106401457,4.35658352641845,316.247072596508,9.51447754768515e-71,1.20934606382577e-67
"ENSG00000183856",-4.40219469219636,5.0031983831946,315.244995265571,1.57278055909617e-70,1.88803568449722e-67
"ENSG00000134057",-3.14743843295804,5.51847578193536,313.877331821112,3.12313451859004e-70,3.55182582514177e-67
"ENSG00000138778",-3.45162747077808,4.4421672185467,313.398383186383,3.9712075332367e-70,4.29049261890893e-67
"ENSG00000143228",-4.54314053358383,4.04961679751725,313.284719232079,4.20419326821255e-70,4.32591467331128e-67
"ENSG00000166851",-3.98485403590096,4.29947793548133,312.54317949611,6.09842006510515e-70,5.98975730758145e-67
"ENSG00000261175",7.64490981387746,3.04071997539862,311.226426963416,1.18047694007316e-69,1.10903242265656e-66
"ENSG00000169679",-4.2847155321375,4.73703393688934,310.409884157262,1.77801071881468e-69,1.60080231717282e-66
"ENSG00000118193",-4.66724554585615,3.78915083946883,306.738344662753,1.12141484413073e-68,9.65800499885161e-66
"ENSG00000105011",-3.83195898576023,4.6420600278025,306.667287273958,1.16210722866597e-68,9.65800499885161e-66
"ENSG00000228639",7.9550446782496,1.90678688552717,304.678328057884,3.15171584770441e-68,2.52230651989618e-65
"ENSG00000123485",-4.42879068823423,3.73320230198622,303.038096796451,7.17601477255856e-68,5.53783311448019e-65
"ENSG00000065328",-3.81837337767559,3.55495884931567,302.963768772665,7.44862947093525e-68,5.54999950372307e-65
"ENSG00000164611",-3.7442539276845,4.20088461506343,300.210997800224,2.96348074257943e-67,2.13449639618855e-64
"ENSG00000117724",-4.04883532330734,6.84236937050998,299.591487276573,4.04364231069087e-67,2.81854913062607e-64
"ENSG00000203727",4.59463399370372,4.64218038945158,299.308752020485,4.65984630118046e-67,3.1465612148721e-64
"ENSG00000153820",8.55907889862774,1.6177350663722,298.913163801437,5.68273993044742e-67,3.72098922476084e-64
"ENSG00000250538",9.20009689548493,1.03390291449251,296.87895793108,1.57671425223718e-66,1.00204828124532e-63
"ENSG00000154678",5.0423425173054,4.03379028391406,296.502257310049,1.90469908120117e-66,1.17590679275985e-63
"ENSG00000137812",-3.73514778274301,3.90699630293111,296.038664715488,2.40343152220855e-66,1.44259300921895e-63
"ENSG00000011426",-4.27593695232695,5.28373786600122,294.366749106994,5.56039011128384e-66,3.24726782498977e-63
"ENSG00000174371",-4.36941894320602,3.88361297053006,291.349003407839,2.52710330216809e-65,1.43699074087495e-62
"ENSG00000076382",-3.58192505193275,4.97908936474974,289.465410991719,6.50187753221546e-65,3.6023735824644e-62
"ENSG00000231367",5.39545762387204,3.16544174537726,288.013684918513,1.34698090124003e-64,7.27639082849864e-62
"ENSG00000131747",-4.58409426172267,7.24335916858585,286.426083313514,2.98742361553873e-64,1.57444510937953e-61
"ENSG00000112984",-4.43154600785157,4.76568542795999,285.600457189119,4.52065921243628e-64,2.32577153005532e-61
"ENSG00000138160",-3.28077455982178,5.28049750904574,283.44017756175,1.33640435504283e-63,6.71558727994547e-61
"ENSG00000109805",-3.88571908773414,4.02683555887125,283.30373977545,1.43109609877288e-63,7.02798284142825e-61
"ENSG00000072571",-4.03552748684589,3.81096263439054,282.39926612163,2.25300576453907e-63,1.08184330133689e-60
"ENSG00000198947",4.3603668291997,6.0929502669206,282.33092416639,2.33160383575036e-63,1.09524555832378e-60
"ENSG00000167900",-3.67635914997468,5.72817009907487,279.550955380249,9.40699722207313e-63,4.24516132582153e-60
"ENSG00000186871",-3.71937482390677,2.73969795155169,279.546045979685,9.43019916880014e-63,4.24516132582153e-60
"ENSG00000142945",-4.06411312492288,4.53079974714402,279.401555890868,1.01392998528262e-62,4.47122431060955e-60
"ENSG00000165795",3.83818186609945,7.76745713752727,278.71792602651,1.42884302446486e-62,6.17488801452735e-60
"ENSG00000080986",-3.77824360571586,3.81230422455032,277.604866466304,2.49772779421755e-62,1.05825298387163e-59
"ENSG00000143476",-3.97656502122301,5.13819175196282,274.633626858034,1.10933226390244e-61,4.60970222277e-59
"ENSG00000156076",8.08070997927494,3.63947387433299,274.136983789551,1.42330030801537e-61,5.80276850105585e-59
"ENSG00000119771",3.7837043992928,3.85175194688294,273.724315951681,1.75077769616923e-61,7.00570452941197e-59
"ENSG00000123500",-7.99039255642587,6.81552475218571,273.442134687044,2.01710382010017e-61,7.9246507899499e-59
"ENSG00000121152",-3.46238163834241,4.06076265966646,270.572378029186,8.51456444800992e-61,3.28540551058211e-58
"ENSG00000145936",4.06828465512681,4.4849379765866,270.340479841313,9.56540418554585e-61,3.62612725686447e-58
"ENSG00000182253",5.30698391194579,7.96230222850859,269.941054607697,1.16884291606652e-60,4.35454443626989e-58
"ENSG00000157404",5.02734814983577,7.58886412473586,269.496334356002,1.46110476363745e-60,5.35111046316578e-58
"ENSG00000124205",8.76329032213552,2.63530705045578,268.981457778839,1.89189755356156e-60,6.81335372289303e-58
"ENSG00000126787",-4.31320914014759,4.05023728132373,268.699798371514,2.17913942583913e-60,7.71915487107082e-58
"ENSG00000065371",8.30308505313475,1.69873332271868,268.572524393844,2.3228669715759e-60,8.09556605190516e-58
"ENSG00000180347",6.38536430577399,-0.134515801400534,268.534526525867,2.36758713124887e-60,8.12044805270247e-58
"ENSG00000145386",-3.78508747753055,4.2181672360841,266.056008621154,8.21311746206846e-60,2.77295378313086e-57
"ENSG00000099953",-6.48790441427531,8.13718899529849,262.911849576735,3.97938344734382e-59,1.3228695004647e-56
"ENSG00000154839",-4.18064400357936,2.99171540793318,261.762968587105,7.08330572870364e-59,2.31903136645194e-56
"ENSG00000148773",-4.20907262910375,6.52015463641747,261.564976431904,7.8233455444029e-59,2.52308732124564e-56
"ENSG00000276365",6.06675005615071,0.198320183362489,260.696628000611,1.2096748185157e-58,3.84391962918931e-56
"ENSG00000119147",6.71777378464786,4.09602304991276,259.802827256557,1.89450236610363e-58,5.93281262706773e-56
"ENSG00000165186",6.3782507991331,3.53879377950484,259.5792196848,2.11951493636507e-58,6.54263982071091e-56
"ENSG00000104332",7.71377839410486,9.10864066688454,259.438378099165,2.27476639003729e-58,6.92297917689096e-56
"ENSG00000129810",-4.25577030997939,2.26775896865475,258.110823528396,4.42911716637563e-58,1.32922727404228e-55
"ENSG00000051341",-3.34459998107922,3.05237906470099,253.582577658927,4.29959147301976e-57,1.27267907601385e-54
"ENSG00000092853",-3.76274231843174,3.46059472183804,252.435996158015,7.64505540684331e-57,2.23235617879825e-54
"ENSG00000154493",6.1723201831124,1.17506905534297,251.977296936165,9.62449101657064e-57,2.77288002514745e-54
"ENSG00000156970",-3.83664395188242,3.98840291740754,251.716782102435,1.09690930419039e-56,3.11868634801921e-54
"ENSG00000101057",-4.69323411322884,5.56815293726557,250.779362755194,1.75603274040155e-56,4.92783837072683e-54
"ENSG00000024526",-4.35157684373554,3.69701707714393,249.694083055014,3.02783700293851e-56,8.38788486660195e-54
"ENSG00000111206",-4.23462352275229,4.9827014173972,249.516689506221,3.30983333025199e-56,9.05302260760568e-54
"ENSG00000137807",-3.31253139993724,4.76884911753741,248.430905898699,5.70848112316524e-56,1.54186075136693e-53
"ENSG00000161800",-2.66790137879016,5.73789217515476,247.475583717211,9.22138515636017e-56,2.45994679578556e-53
"ENSG00000163017",5.35020995504907,7.09306685083298,246.498252770814,1.50616764948679e-55,3.96893543537933e-53
"ENSG00000165799",5.68613095977594,0.448527764884423,245.494104195317,2.49345039657385e-55,6.49138267098408e-53
"ENSG00000189057",-3.82497772529741,4.85665590291329,245.350363353354,2.68003104504992e-55,6.89406081207604e-53
