"gene","avg_rank","rank_variance"
"EGFR",16.5511155511156,1349.33341231276
"CAPZB",19.7219447219447,299.891680160834
"CTNNB1",20.3393273393273,860.518729327523
"UBA52",20.5048285048285,1197.1521252454
"UBC",22.6823176823177,2562.83975052263
"GRB2",22.9423909423909,2740.89041759928
"KLC1",23.6959706959707,438.968494751972
"H4C6",25.2067932067932,346.729707334637
"TP53",25.4205794205794,8456.36435982405
"FYN",25.8734598734599,505.463662475654
"EZR",26.6327006327006,264.311748433667
"KIF23",28.5810855810856,769.944372305465
"KIF2A",29.3992673992674,674.501758290566
"UBB",30.3866133866134,2575.37179941977
"KIF20A",31.2667332667333,822.267603815239
"SRC",31.3256743256743,2218.47218204846
"RPS27A",31.4525474525475,7926.93403997734
"CAPZA1",33.0882450882451,334.223722535515
"CD44",33.9410589410589,604.705718665079
"KIF11",35.7559107559108,1100.60295888877
"SPTAN1",35.960705960706,462.948488775271
"SPTBN1",38.1734931734932,312.887611611129
"CDK2",38.5967365967366,707.227397741055
"ESR1",40.6576756576757,519.255859618951
"PLK1",41.4375624375624,324.286156881094
"FN1",41.5464535464535,5906.12134234852
"BRD4",43.0616050616051,510.270354118455
"APP",43.1938061938062,1081.46742331619
"KIF1A",43.2221112221112,1138.27410120415
"BRCA1",47.8181818181818,14419.0142329356
"HSPA4",50.8857808857809,765.937982293079
"KIF18A",51.7499167499167,2368.25822367728
"CAPZA2",51.8061938061938,2262.93377907902
"CCNB1",52.5967365967366,2186.34198801421
"CDK1",52.6207126207126,6779.1202503914
"RDX",56.3459873459873,349.215029696042
"NDEL1",56.4282384282384,2137.33687054673
"KIF2C",56.7489177489177,6246.80768953454
"HSPA8",58.964368964369,10937.738570113
"KIFC1",60.8877788877789,2530.82317837614
"RHOA",63.3959373959374,5663.73292153106
"BUB1",64.0805860805861,773.414556351931
"ACTB",65.3912753912754,5287.40947748676
"KIF5B",65.5068265068265,13396.3226549156
"ITGB1",65.5917415917416,925.540797865248
"MDM2",66.2121212121212,687.121212121212
"MSN",66.7828837828838,3837.61440380628
"MYO1C",69.7898767898768,766.0660933559
"DLG4",71.3716283716284,724.200953610014
"KIF15",73.8621378621379,4581.08891574781
"KIF1B",74.002664002664,3586.31778104196
"KIF17",75.0812520812521,3782.19659376821
"SOS1",75.3226773226773,889.210634801574
"DPP4",75.989010989011,4264.9722309669
"CALM3",76.004329004329,1655.73982136007
"BUB1B",79.3313353313353,1728.84787519831
"CCNA2",80.7875457875458,753.717672955514
"KIF5A",82.7332667332667,8358.56340661337
"MCM7",83.982683982684,930.539340295503
"ESPN",87.05328005328,3274.69935882461
"SYT1",87.4575424575425,19559.7739296014
"KIF3A",89.2930402930403,7750.05600417792
"SKP1",91.3649683649684,966.78214346169
"KIF3C",94.3010323010323,8100.46564516984
"RBX1",95.9137529137529,22804.0548507677
"KIF13B",96.3546453546454,5906.83387831356
"MMP7",96.7705627705628,2947.91036567252
"MYH9",96.8285048285048,363.56718187431
"SQSTM1",97.1974691974692,7689.54427074147
"CDC6",98.029637029637,1443.63303208007
"STX1A",100.097569097569,1469.93617996483
"AURKA",100.699300699301,749.4235404835
"MYO3A",101.75690975691,2180.69705000751
"KIF20B",102.194805194805,6609.84245135278
"H3C1",102.624042624043,673.373265863606
"KIF1C",104.02664002664,7371.61754456958
"PTK2",106.308691308691,1489.26144009222
"KIF27",106.978021978022,8724.5431543806
"CASK",108.318348318348,1614.60415023573
"KIF9",110.223443223443,8884.97437361661
"CDKN1A",110.244089244089,3849.88343856898
"KIFC2",110.69030969031,8358.54429980413
"RAC1",110.691974691975,11127.7988263125
"YWHAE",111.4995004995,1498.07619895095
"RAC3",111.560772560773,817.835329449587
"SLC9A1",113.062271062271,2932.15168398113
"MCM4",113.583083583084,3656.33445058162
"SHC1",113.89010989011,9361.94394945494
"NRCAM",113.937395937396,4403.31120267696
"MAPK1",114.680652680653,1506.14148764848
"KIF13A",114.707625707626,8657.17897913767
"CFTR",115.438561438561,3632.71799286656
"SPTBN2",117.364968364968,534.708858984675
"GSN",117.770562770563,717.295442288114
"CUL1",117.909090909091,11232.8528253891
"AURKB",118.006327006327,523.246795398694
"KIF7",118.074592074592,10712.8998305714
"HIF1A",119.481518481518,1139.18711668079
"KIFAP3",120.11322011322,21910.811294191
"MCM10",121.03663003663,3174.58093627447
"MCM3",122.01332001332,2671.20835016638
"CDT1",123.351648351648,2082.4365953833
"ACTR1A",124.76023976024,2790.42883831691
"MCM2",125.099234099234,9343.27262766104
"KIF25",125.110556110556,10452.2815774055
"KIF5C",125.992007992008,15086.2724211165
"KIF2B",126.338328338328,19185.2425910754
"RELA",127.060939060939,1788.37436647297
"CD2AP",127.858141858142,3102.32563905116
"RPA2",128.35964035964,3489.76402012378
"ACTG1",129.271395271395,980.488944987946
"VAMP2",130.165834165834,3930.80326934891
"KIF6",130.47286047286,11359.2520113686
"MCM6",130.791208791209,2311.11195466758
"APC",132.605727605728,3220.15562341279
"KIF3B",134.620712620713,18177.9357067538
"KIFC3",134.938727938728,22536.9609346904
"PPP2R1A",135.175158175158,3283.00928274479
"ANK2",135.667998667999,648.536973574948
"KIF19",135.776556776557,12234.7112157219
"ANK3",135.83682983683,685.030661765505
"RANBP2",135.853146853147,1295.62099858835
"NDE1",137.988011988012,26144.7866650338
"ELOB",139.773892773893,1032.8066199845
"BSG",141.919746919747,5717.82333744426
"KIF14",142.933732933733,39974.780750451
"ELOC",143.008325008325,1102.64916451525
"MCM5",143.272061272061,3725.31736373775
"CDC45",143.778887778888,4425.04036691712
"ATP1A1",144.506160506161,8944.82366290161
"CALML5",145.125208125208,6577.5452770636
"KIF21B",146.934731934732,14555.5500357959
"RPA3",147.83682983683,4666.20721073286
"FOXO3",150.39294039294,1669.67565967233
"DVL2",150.651348651349,2431.8247708321
"CCND1",151.466533466533,2014.57074837221
"KIF22",153.770562770563,28347.2348160389
"ANXA2",156.549450549451,4662.26895622698
"CDK5",158.217116217116,5841.1753631667
"CDC27",158.658008658009,1053.81071781871
"SCN5A",158.734265734266,2762.39105398266
"CLIC5",159.351315351315,4400.50644980159
"POLE",160.111888111888,1157.02611778628
"HDAC2",162.333000333,2005.77248489907
"SMAD3",162.40293040293,2853.24332252247
"DISC1",163.77688977689,2849.19004535327
"RPA1",166.762570762571,20861.0092314969
"CALML3",170.423576423576,10653.1329816087
"MYO6",173.386946386946,896.884866188664
"GINS4",175.467532467532,7803.70539121105
"PLXNA1",176.628371628372,18665.3388616713
"CDKN1B",180.434898434898,2290.74417809594
"HAUS6",181.479187479187,3457.40021626164
"PPFIA1",181.618048618049,2643.18151291303
"PDLIM7",182.214452214452,21864.462988932
"CDC20",183.161505161505,24042.0282045292
"EPB41L1",183.4662004662,3768.25960004907
"KRT18",183.816516816517,20661.7794472904
"SKP2",184.363303363303,13515.0721639009
"SPTBN5",187.042624042624,1847.80364561044
"DDB1",187.845820845821,2353.46489508715
"NDC80",189.222777222777,14241.9293677675
"SNAP25",190.001998001998,4925.06595203597
"MYO15A",190.358641358641,7249.34268596161
"LGALS3",193.467199467199,3382.65873389324
"ERBB4",193.490842490842,3587.18404336059
"HMMR",194.81684981685,3969.32753744146
"KIF18B",194.843822843823,42116.7980522697
"KIF21A",194.983016983017,32714.0220299354
"POLE2",197.158841158841,1456.97442797043
"CUL2",197.325008325008,1419.17947763984
"NHERF1",198.884448884449,3957.51195994767
"PTEN",199.528804528805,8254.40848048243
"RIPOR2",200.559107559108,3850.61700813067
"KIF16B",201.277389277389,35304.9446817894
"CCT8",202.072927072927,3700.20087573985
"CENPF",203.584082584083,3232.58744808378
"VCP",204.651015651016,16694.6636457036
"SPTBN4",205.877788877789,2154.93609211131
"ANAPC4",206.878787878788,1913.92001292068
"SCN2A",207.476856476856,5484.39944754335
"MYO3B",208.164169164169,6057.33246655632
