name	name-2	source_db_name	source_db_version
PXR	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
LXRA	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
SHP	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
DAX	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
REV-ERBA	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
NGFIBG	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
RXRG	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
RORB	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
COUP3	NUCLEAR HORMONE RECEPTOR	BaderLab	Feb-14
ABL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ADGRA2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
AFF3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
AFF4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
AKT1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ALDH2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
APC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ARHGAP26	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ATF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ATR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
AURKB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BARD1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BCL10	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BCL11B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BCL2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BCOR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BCORL1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
BLM	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CACNA1D	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CAMTA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
