"ensembl_gene_id","external_gene_name","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","page_rank","cluster","source"
"ENSG00000000971","CFH","complement factor H ","protein_coding",24,2339.4767792852,9.56754688097972e-05,0.0080973220223371,0.000391369120316133,"white","STRING"
"ENSG00000001036","FUCA2","alpha-L-fucosidase 2 ","protein_coding",2,810.802638886022,7.94723039020901e-05,0.000385925623895983,9.88555197168243e-05,"white","STRING"
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",1,0,6.19003404518725e-05,1.1618892451709e-05,8.06636510193878e-05,"tomato","subnet"
"ENSG00000001626","CFTR","CF transmembrane conductance regulator ","protein_coding",48,31501.1693150189,0.000113481615978212,0.154669905971871,0.000659534202845354,"white","STRING"
"ENSG00000002726","AOC1","amine oxidase copper containing 1 ","protein_coding",5,6516.57765350227,7.29075532225139e-05,0.000218193697137212,0.000299241177868595,"tomato","subnet"
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 ","protein_coding",8,233.472765463528,9.10995718320124e-05,0.0166642555057046,0.000132446177752659,"white","STRING"
"ENSG00000002834","LASP1","LIM and SH3 protein 1 ","protein_coding",5,345.59434233855,8.77346902965433e-05,0.00534043909521854,0.000109082568820285,"white","STRING"
"ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator ","protein_coding",28,5414.24598313421,0.000104395030796534,0.108858066249715,0.000374625219009384,"white","STRING"
"ENSG00000003436","TFPI","tissue factor pathway inhibitor ","protein_coding",7,632.089256782794,9.16422287390029e-05,0.00677818848439374,0.000165595656193342,"white","STRING"
"ENSG00000004468","CD38","CD38 molecule ","protein_coding",7,131.845289640573,8.76424189307625e-05,0.00347577617318343,0.00014493973916619,"white","STRING"
"ENSG00000004766","VPS50","VPS50 subunit of EARP/GARPII complex ","protein_coding",4,319.967589116448,7.59705234369065e-05,0.00108166924324707,0.00014771493565844,"white","STRING"
"ENSG00000004776","HSPB6","heat shock protein family B (small) member 6 ","protein_coding",6,645.600365587403,9.13075237399562e-05,0.0114170485343459,0.000110339455511799,"white","STRING"
"ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4 ","protein_coding",16,1767.03007002437,9.19624793084422e-05,0.00780313061136529,0.00030326496145479,"tomato","subnet"
"ENSG00000004897","CDC27","cell division cycle 27 ","protein_coding",46,4980.70303544072,0.000107979699816435,0.219166438491555,0.000516976993470379,"white","STRING"
"ENSG00000004948","CALCR","calcitonin receptor ","protein_coding",14,282.657618083573,8.81678716275789e-05,0.00607178323064693,0.000234407587607563,"white","STRING"
"ENSG00000005102","MEOX1","mesenchyme homeobox 1 ","protein_coding",7,3470.2435747658,7.40740740740741e-05,0.000535060982523772,0.000273242078299702,"tomato","subnet"
"ENSG00000005175","RPAP3","RNA polymerase II associated protein 3 ","protein_coding",44,197.961346577758,0.000102469515319193,0.171465815018497,0.00042925659226332,"white","STRING"
"ENSG00000005339","CREBBP","CREB binding protein ","protein_coding",130,41411.0267573637,0.000119545726240287,0.569732029993262,0.00142794234520436,"white","STRING"
"ENSG00000005379","TSPOAP1","TSPO associated protein 1 ","protein_coding",8,813.109192612833,8.84173297966401e-05,0.00330386092864131,0.000180245677943788,"white","STRING"
"ENSG00000005381","MPO","myeloperoxidase ","protein_coding",26,6558.43508995691,9.85804416403785e-05,0.0593557687427925,0.000416845852438202,"white","STRING"
"ENSG00000005810","MYCBP2","MYC binding protein 2 ","protein_coding",12,663.317926749845,0.000103082156478714,0.0864047393605457,0.00018520100148395,"white","STRING"
"ENSG00000005882","PDK2","pyruvate dehydrogenase kinase 2 ","protein_coding",10,270.660615285154,8.61994655633135e-05,0.00322794746686771,0.000231078387931399,"white","STRING"
"ENSG00000005961","ITGA2B","integrin subunit alpha 2b ","protein_coding",40,3310.49634356983,0.000107793467715856,0.0589887332782638,0.000485262631047129,"white","STRING"
"ENSG00000006016","CRLF1","cytokine receptor like factor 1 ","protein_coding",11,40.264797708494,8.80049282759835e-05,0.00788954555375288,0.000180703651183595,"white","STRING"
"ENSG00000006059","KRT33A","keratin 33A ","protein_coding",27,0,8.03212851405622e-05,0.00194444212498728,0.000316945536104335,"white","STRING"
"ENSG00000006071","ABCC8","ATP binding cassette subfamily C member 8 ","protein_coding",26,3759.01125874156,8.55798031664527e-05,0.00208044107093019,0.000450770064315308,"tomato","subnet"
"ENSG00000006128","TAC1","tachykinin precursor 1 ","protein_coding",27,17112.0377744699,0.000100948919846558,0.0227170423307349,0.000524530291635192,"tomato","subnet"
"ENSG00000006210","CX3CL1","C-X3-C motif chemokine ligand 1 ","protein_coding",38,2810.50735648526,9.8173964264677e-05,0.0275956296227415,0.000416576603707143,"white","STRING"
"ENSG00000006451","RALA","RAS like proto-oncogene A ","protein_coding",16,1674.90511688309,9.92457324335054e-05,0.0244600699375525,0.000247804454545034,"white","STRING"
"ENSG00000006576","PHTF2","putative homeodomain transcription factor 2 ","protein_coding",1,0,5.71559213534522e-05,1.50713441037132e-06,9.81803164825281e-05,"white","STRING"
"ENSG00000006606","CCL26","C-C motif chemokine ligand 26 ","protein_coding",40,218.692812301513,9.06947215672048e-05,0.0182045998524423,0.000406781413621497,"white","STRING"
"ENSG00000006788","MYH13","myosin heavy chain 13 ","protein_coding",25,0,8.57338820301783e-05,0.00742186258918268,0.000305733754585948,"white","STRING"
"ENSG00000006831","ADIPOR2","adiponectin receptor 2 ","protein_coding",6,460.50455604825,8.61326442721792e-05,0.00191109963548617,0.00014886155685296,"white","STRING"
"ENSG00000007062","PROM1","prominin 1 ","protein_coding",5,3492.39655732677,8.73591333973967e-05,0.0039776246730098,0.000172326275167995,"tomato","subnet"
"ENSG00000007168","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 ","protein_coding",26,688.307884567976,9.92260369120857e-05,0.0338404107382008,0.000332852776163217,"white","STRING"
