"ensembl_gene_id","external_gene_name","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","page_rank","cluster","source"
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",1,0,0.000128617363344051,0.0093022133968038,0.00067995482946872,"tomato","subnet"
"ENSG00000002726","AOC1","amine oxidase copper containing 1 ","protein_coding",1,0,0.000131423314495992,1.38020130143439e-11,0.000735053656772435,"tomato","subnet"
"ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4 ","protein_coding",2,2172,0.000163371998039536,8.8903387182992e-08,0.001506928229399,"tomato","subnet"
"ENSG00000005102","MEOX1","mesenchyme homeobox 1 ","protein_coding",5,2714,0.000153775180685837,1.14617046802728e-06,0.00276696064302536,"tomato","subnet"
"ENSG00000006071","ABCC8","ATP binding cassette subfamily C member 8 ","protein_coding",10,0,0.000148986889153754,0.922349769611765,0.0018824801484354,"tomato","subnet"
"ENSG00000006128","TAC1","tachykinin precursor 1 ","protein_coding",5,34268.6218614718,0.00017415534656914,0.093714534073329,0.00196318597912665,"tomato","subnet"
"ENSG00000007062","PROM1","prominin 1 ","protein_coding",2,546,0.000138331719463273,0.000103762283181357,0.00142919334020179,"tomato","subnet"
"ENSG00000008438","PGLYRP1","peptidoglycan recognition protein 1 ","protein_coding",3,1634,0.000158353127474268,1.12796139049813e-11,0.00195998095475388,"tomato","subnet"
"ENSG00000009950","MLXIPL","MLX interacting protein like ","protein_coding",1,0,0.0212765957446809,0,0.00079717412360118,"maroon1","subnet"
"ENSG00000010292","NCAPD2","non-SMC condensin I complex subunit D2 ","protein_coding",2,0,0.00010864841373316,0,0.00139548124051565,"tomato","subnet"
"ENSG00000010295","IFFO1","intermediate filament family orphan 1 ","protein_coding",3,3847.60101010101,0.000128849375080531,0,0.00198933612903404,"tomato","subnet"
"ENSG00000012817","KDM5D","lysine demethylase 5D ","protein_coding",2,1694.56177156177,0.000121550990640574,0,0.00135847596288789,"tomato","subnet"
"ENSG00000013297","CLDN11","claudin 11 ","protein_coding",7,0,0.000129165590286748,0.0266181322543043,0.00172289760691559,"royalblue","subnet"
"ENSG00000014257","ACP3","acid phosphatase 3 ","protein_coding",1,0,0.000141422712487626,8.34106866811905e-13,0.000812494094726735,"tomato","subnet"
"ENSG00000018625","ATP1A2","ATPase Na+/K+ transporting subunit alpha 2 ","protein_coding",12,263.25,0.00014903129657228,0.989896944444627,0.00225546281386577,"tomato","subnet"
"ENSG00000022267","FHL1","four and a half LIM domains 1 ","protein_coding",2,1090,0.000144864551644213,8.50342600379355e-14,0.00129592710295924,"tomato","subnet"
"ENSG00000024526","DEPDC1","DEP domain containing 1 ","protein_coding",2,7132.07800792204,0.000142267747901551,1.04166784785626e-16,0.00119362273655203,"tomato","subnet"
"ENSG00000025423","HSD17B6","hydroxysteroid 17-beta dehydrogenase 6 ","protein_coding",4,10.5,0.04,0,0.00247415522218241,"yellowgreen","subnet"
"ENSG00000034971","MYOC","myocilin ","protein_coding",5,28513.463335787,0.000178954903364352,3.10423896771061e-10,0.00242513332734236,"tomato","subnet"
"ENSG00000040608","RTN4R","reticulon 4 receptor ","protein_coding",7,1466.06753246753,0.000163425396306586,4.88401670231062e-12,0.00296754448710729,"tomato","subnet"
"ENSG00000042493","CAPG","capping actin protein, gelsolin like ","protein_coding",3,23922.7097823473,0.000188359389715577,9.11750884672452e-07,0.00199055160128768,"tomato","subnet"
"ENSG00000047457","CP","ceruloplasmin ","protein_coding",3,1634,0.000153350713080816,8.71854269641727e-12,0.00202684648444936,"tomato","subnet"
"ENSG00000048462","TNFRSF17","TNF receptor superfamily member 17 ","protein_coding",3,1634,0.00012070006035003,1.29711727257101e-06,0.00208223533228324,"tomato","subnet"
"ENSG00000049249","TNFRSF9","TNF receptor superfamily member 9 ","protein_coding",5,5373,0.000138677021217584,0.000107841480790102,0.00253791915670867,"tomato","subnet"
"ENSG00000051009","FHIP1B","FHF complex subunit HOOK interacting protein 1B ","protein_coding",2,72,0.02,0,0.00155635957384506,"springgreen","subnet"
"ENSG00000055955","ITIH4","inter-alpha-trypsin inhibitor heavy chain 4 ","protein_coding",8,3801,0.000156764383132152,2.84848442500807e-13,0.00582791969149764,"tomato","subnet"
"ENSG00000056998","GYG2","glycogenin 2 ","protein_coding",4,5708.71117962035,0.000151034586920405,2.92200926251592e-08,0.00207521262222578,"tomato","subnet"
