"","gene_id"
"1","TSPAN6"
"2","DPM1"
"3","SCYL3"
"4","C1orf112"
"5","FGR"
"6","CFH"
"7","FUCA2"
"8","GCLC"
"9","NFYA"
"10","STPG1"
"11","NIPAL3"
"12","LAS1L"
"13","ENPP4"
"14","SEMA3F"
"15","CFTR"
"16","ANKIB1"
"17","CYP51A1"
"18","KRIT1"
"19","RAD52"
"20","BAD"
"21","LAP3"
"22","CD99"
"23","AOC1"
"24","MAD1L1"
"25","LASP1"
"26","SNX11"
"27","M6PR"
"28","ICA1"
"29","ALS2"
"30","CASP10"
"31","CFLAR"
"32","TFPI"
"33","NDUFAF7"
"34","RBM5"
"35","SLC7A2"
"36","ARF5"
"37","SARM1"
"38","POLDIP2"
"39","PLXND1"
"40","AK2"
"41","FKBP4"
"42","KDM1A"
"43","RBM6"
"44","CAMKK1"
"45","RECQL"
"46","VPS50"
"47","ARHGAP33"
"48","NDUFAB1"
"49","PDK4"
"50","ARX"
"51","SLC25A13"
"52","ST7"
"53","CDC27"
"54","HCCS"
"55","DVL2"
"56","PRSS22"
"57","UPF1"
"58","SKAP2"
"59","MCUB"
"60","POLR2J"
"61","DHX33"
"62","THSD7A"
"63","LIG3"
"64","RPAP3"
"65","ACSM3"
"66","REXO5"
"67","CIAPIN1"
"68","SPPL2B"
"69","ATOSB"
"70","COPZ2"
"71","MSL3"
"72","CREBBP"
"73","GCFC2"
"74","WDR54"
"75","CROT"
"76","KMT2E"
"77","RHBDD2"
"78","IBTK"
"79","ZNF195"
"80","MYCBP2"
"81","FBXL3"
"82","ITGAL"
"83","PDK2"
"84","ITGA3"
"85","ZFX"
"86","LAMP2"
"87","GDE1"
"88","OSBPL7"
"89","TMEM98"
"90","MAP3K14"
"91","TMEM132A"
"92","AP2B1"
"93","ZNF263"
"94","SPATA20"
"95","TNFRSF12A"
"96","MAP3K9"
"97","RALA"
"98","BAIAP2L1"
"99","KDM7A"
"100","ETV1"
"101","AGK"
"102","ALDH3B1"
"103","TTC22"
"104","PHTF2"
"105","FARP2"
"106","USH1C"
"107","IFRD1"
"108","COX10"
"109","GTF2IRD1"
"110","PAF1"
"111","VPS41"
"112","ARHGAP44"
"113","ELAC2"
"114","SCIN"
"115","ARSD"
"116","PNPLA4"
"117","ADIPOR2"
"118","MARK4"
"119","PROM1"
"120","CCDC124"
"121","PAFAH1B1"
"122","BLTP2"
"123","GAS7"
"124","ST7L"
"125","RPUSD1"
"126","RHBDF1"
"127","LUC7L"
"128","TSR3"
"129","PIGQ"
"130","CRAMP1"
"131","TEAD3"
"132","DNAJC11"
"133","PSMB1"
"134","JARID2"
"135","CDK11A"
"136","NADK"
"137","CYTH3"
"138","ADAM22"
"139","SYPL1"
"140","CYB561"
"141","SPAG9"
"142","PLEKHG6"
"143","SS18L2"
"144","MPND"
"145","MGST1"
"146","CRY1"
"147","ST3GAL1"
"148","PKD1"
"149","RHOBTB2"
"150","HEATR5B"
"151","SEC62"
"152","RPS20"
"153","CSDE1"
"154","UBE3C"
"155","REV3L"
"156","IYD"
"157","FAM76A"
"158","TRAF3IP3"
"159","POMT2"
"160","VTA1"
"161","BAZ1B"
"162","RANBP9"
"163","ETV7"
"164","SPRTN"
"165","METTL13"
"166","DYRK4"
"167","ZNF207"
"168","UQCRC1"
"169","STARD3NL"
"170","IFFO1"
"171","GIPR"
"172","PHF7"
"173","NISCH"
"174","STAB1"
"175","FUZ"
"176","IDS"
"177","PRSS3"
"178","ZNF200"
"179","CD4"
"180","LRRC23"
"181","BTK"
"182","HFE"
"183","SCMH1"
"184","FYN"
"185","HIVEP2"
"186","ELOA"
"187","LYPLA2"
"188","CLCN6"
"189","TSPAN9"
"190","BTBD7"
"191","APBA3"
"192","MKS1"
"193","ABHD5"
"194","ANOS1"
